PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,7c3sJc4h,-100|100,sturc.martin.3,DeepStack 
r300c,cr600r1200r2400c,k,r20000c,Jd8dAdAs9d2cTd3cQh,20000|-20000,sturc.martin.1,DeepStack 
f,,,,Tc4s2d9c,50|-50,sturc.martin.4,DeepStack 
r300f,,,,Qc2dQd5c,-100|100,sturc.martin.2,DeepStack 
r300r900c,k,r1800f,,Jc9cKhJdQhQc7h4s,900|-900,DeepStack,sturc.martin.3 
f,,,,6s6h5d8h,50|-50,DeepStack,sturc.martin.4 
r300f,,,,2h8hTsJh,-100|100,DeepStack,sturc.martin.2 
r300f,,,,4cQsQhAh,-100|100,sturc.martin.4,DeepStack 
r300c,cr600f,,,4s5dJs5hJc2hQc,-300|300,sturc.martin.2,DeepStack 
r300c,k,k,k,9s7cJh7d8sQhThQd6s,300|-300,DeepStack,sturc.martin.1 
k,cr300f,,,2cJd6cKs5c7hQd,-100|100,sturc.martin.3,DeepStack 
r300r600c,r1200f,,,7s7dJh8hAs2dAc,600|-600,DeepStack,sturc.martin.4 
f,,,,9hAh5h3c,50|-50,DeepStack,sturc.martin.2 
cr400c,r800c,k,r2000f,9dJs8d5d2cJh6dKd9c,800|-800,sturc.martin.2,DeepStack 
r300f,,,,9d5sThKs,-100|100,DeepStack,sturc.martin.3 
r300f,,,,6h2s6s7s,-100|100,sturc.martin.4,DeepStack 
r200f,,,,7d4c3hAc,-100|100,sturc.martin.1,DeepStack 
k,k,cr200f,,7s4dTdQh2cQs9d8c,-100|100,sturc.martin.3,DeepStack 
r300r900f,,,,Th9h5h6d,300|-300,DeepStack,sturc.martin.4 
f,,,,Jh2sTc6h,50|-50,DeepStack,sturc.martin.1 
r300r900c,r1800c,k,k,Ah9h4s4cKc3d8s9d5d,1800|-1800,DeepStack,sturc.martin.2 
r200c,cr600f,,,Ad4dQdKs9cQc6d,-200|200,sturc.martin.1,DeepStack 
r300f,,,,Kd5hAs9h,-100|100,sturc.martin.4,DeepStack 
r300c,k,k,k,9dQc4cKc9s5sTcKs4s,-300|300,DeepStack,sturc.martin.4 
r300f,,,,4dJh9h8c,-100|100,DeepStack,sturc.martin.3 
k,k,k,k,5c7h9h4d2c3dJcQcQs,-100|100,sturc.martin.3,DeepStack 
r300f,,,,8d2h6c7h,-100|100,DeepStack,sturc.martin.1 
k,k,k,cr300f,4sKhQd6dQc8cAc6sJh,-100|100,sturc.martin.2,DeepStack 
r200c,cr400c,k,k,JhQsTs5sJcTd7c8h7s,400|-400,sturc.martin.1,DeepStack 
k,cr200c,r500f,,Qs6c8s4hKc2h6hQd,200|-200,sturc.martin.4,DeepStack 
r300r900f,,,,AhQd8cAs,300|-300,DeepStack,sturc.martin.3 
r300c,r600c,cr1200c,cr2400c,Ks6cAs5hAdAh6d4d3c,-2400|2400,DeepStack,sturc.martin.2 
f,,,,TsTd9h3h,50|-50,DeepStack,sturc.martin.1 
f,,,,Ks4cTh6c,50|-50,DeepStack,sturc.martin.4 
cr400c,r800c,r1600c,r3200c,ThAsQhTcTd7s3c9h5d,3200|-3200,sturc.martin.1,DeepStack 
f,,,,6s9c7d2h,50|-50,sturc.martin.3,DeepStack 
r200c,k,k,k,7h8sThQcKd8c4h2c6c,200|-200,sturc.martin.4,DeepStack 
f,,,,TsQs8s2s,50|-50,DeepStack,sturc.martin.3 
r300c,cr600r1200f,,,5h6hAdQc2d9cJh,600|-600,sturc.martin.2,DeepStack 
r200r700f,,,,Td4s3h5d,200|-200,sturc.martin.3,DeepStack 
f,,,,8cTdQs4d,50|-50,DeepStack,sturc.martin.3 
r300c,k,cr600f,,Ac6dTd8d8hKc3h5h,-300|300,DeepStack,sturc.martin.1 
r300f,,,,3s7d2d2c,-100|100,DeepStack,sturc.martin.4 
r200c,cr400r800c,k,k,9h8c2dAs2c7cTh5cTc,800|-800,sturc.martin.3,DeepStack 
f,,,,Ts3h2c7c,50|-50,DeepStack,sturc.martin.2 
r300f,,,,3dTdJdKc,-100|100,sturc.martin.4,DeepStack 
r200f,,,,3s2hQd8s,-100|100,sturc.martin.2,DeepStack 
r300f,,,,2s8s6s8h,-100|100,sturc.martin.1,DeepStack 
f,,,,7d6sJs4s,50|-50,DeepStack,sturc.martin.4 
r300c,k,k,k,7dKdAcJcQsQd6s9c6h,-300|300,sturc.martin.4,DeepStack 
r300r900c,r1800c,k,cr3600f,QhAhTcTh4d3s3hJc7d,-1800|1800,DeepStack,sturc.martin.1 
r300c,k,cr500c,k,8c9sKc3dTsAs9d3c2d,500|-500,DeepStack,sturc.martin.2 
r300r900c,r1800f,,,AsAhAd3dQs2s8c,900|-900,DeepStack,sturc.martin.3 
f,,,,6d8c6hTc,50|-50,DeepStack,sturc.martin.4 
r300c,k,k,r600c,Kh9s7cAs8dKc3h8s3s,600|-600,sturc.martin.1,DeepStack 
r300c,k,r600c,cr1200f,9hJcKd9d5d5hTs6d7d,-600|600,sturc.martin.2,DeepStack 
cr500f,,,,4c5hQh2s,100|-100,sturc.martin.3,DeepStack 
r300r900c,k,r1800f,,ThTc6h9hAsKsTsTd,900|-900,DeepStack,sturc.martin.3 
r200r700f,,,,KsKd6sAc,200|-200,sturc.martin.4,DeepStack 
r300r900r2400f,,,,JdThQc8c,-900|900,DeepStack,sturc.martin.2 
r300f,,,,2c3d7c7d,-100|100,DeepStack,sturc.martin.4 
r300c,cr600f,,,5d2d8cJs8hJdKc,-300|300,DeepStack,sturc.martin.1 
r300f,,,,4s6cAsKh,-100|100,sturc.martin.4,DeepStack 
f,,,,7s7c8c4s,50|-50,DeepStack,sturc.martin.4 
r300f,,,,4cTd7hQc,-100|100,sturc.martin.3,DeepStack 
r200f,,,,3dTd2dKh,-100|100,sturc.martin.4,DeepStack 
r200f,,,,5c9c7sQh,-100|100,sturc.martin.1,DeepStack 
cr400c,k,r800c,r2000c,JhQhQdTs6sTd8hTh3h,2000|-2000,sturc.martin.2,DeepStack 
r300f,,,,6dJh6s7s,-100|100,DeepStack,sturc.martin.3 
r300r900f,,,,8h8d4c5d,300|-300,DeepStack,sturc.martin.4 
f,,,,KdTh2h6s,50|-50,DeepStack,sturc.martin.1 
r300f,,,,4s7c5s7d,-100|100,sturc.martin.3,DeepStack 
r300c,cr600c,cr1600c,k,ThQcKcAcAd9sJcTc6h,-1600|1600,DeepStack,sturc.martin.3 
cr500f,,,,7h7cTh4c,100|-100,sturc.martin.4,DeepStack 
k,k,k,r300f,4c3c3sThQdAdQh2dAc,100|-100,sturc.martin.1,DeepStack 
f,,,,Js3c6d2h,50|-50,DeepStack,sturc.martin.4 
r300f,,,,7h3s8cQs,-100|100,DeepStack,sturc.martin.2 
r300f,,,,5c8s9hTs,-100|100,sturc.martin.4,DeepStack 
f,,,,8sTh5h9s,50|-50,DeepStack,sturc.martin.1 
r300c,k,k,r3700c,9sAs3d3h2sTc8sJd3s,3700|-3700,sturc.martin.3,DeepStack 
cr400c,k,k,k,As8d7h6sQd2sTh9s6c,-400|400,sturc.martin.2,DeepStack 
r300f,,,,9c4c3sAc,-100|100,sturc.martin.1,DeepStack 
r200c,k,k,k,Ks2d9cThKcAc6d3h6s,200|-200,DeepStack,sturc.martin.4 
f,,,,Ad5hTd5c,50|-50,DeepStack,sturc.martin.1 
k,k,r200f,,Ah2cJd2sTd4h3hAd,100|-100,sturc.martin.1,DeepStack 
f,,,,8cTc2c6d,50|-50,DeepStack,sturc.martin.2 
f,,,,7d5h5cKd,50|-50,DeepStack,sturc.martin.3 
r200c,k,k,r500f,Jh4hQdKh5sJs3cAc2d,200|-200,sturc.martin.2,DeepStack 
k,k,k,cr300f,2s4s6cJsAh8dJh5cTs,-100|100,sturc.martin.4,DeepStack 
r200f,,,,4hKc9c6c,-100|100,sturc.martin.3,DeepStack 
f,,,,Th4s8hQd,50|-50,DeepStack,sturc.martin.3 
f,,,,6h9s5hTs,50|-50,DeepStack,sturc.martin.1 
r300f,,,,Qc5d3c9c,-100|100,sturc.martin.3,DeepStack 
r300c,k,r900f,,Td6d6cKsQd8cThTc,300|-300,DeepStack,sturc.martin.2 
r200c,k,k,r600c,As9c9hJh2d7d6d8h5s,0|0,sturc.martin.1,DeepStack 
r300r900c,r1800f,,,8sAsAdJdKc4s6s,900|-900,DeepStack,sturc.martin.4 
f,,,,Qs8d4h7d,50|-50,DeepStack,sturc.martin.3 
f,,,,JcQc9h3c,50|-50,sturc.martin.3,DeepStack 
f,,,,2hAs2cJc,50|-50,DeepStack,sturc.martin.3 
k,cr200f,,,Ac4s9sJd3sJcTh,-100|100,sturc.martin.3,DeepStack 
r200f,,,,7hTdQh5s,-100|100,sturc.martin.4,DeepStack 
f,,,,4s3h8s2d,50|-50,DeepStack,sturc.martin.1 
r200c,k,k,cr400r1200f,Js2s4cKc2d9hQs9c2c,400|-400,DeepStack,sturc.martin.4 
r300c,k,k,k,AhTs7h8c5s9c4h3h8d,-300|300,DeepStack,sturc.martin.3 
k,cr300f,,,4sQh6d7h9s4cTs,-100|100,sturc.martin.2,DeepStack 
k,cr300f,,,5h6c4cTs3c9sTh,-100|100,sturc.martin.1,DeepStack 
k,k,cr300f,,9dQh6cKcJd5c4s2h,-100|100,sturc.martin.3,DeepStack 
r300f,,,,Kc4h9c7s,-100|100,DeepStack,sturc.martin.2 
r300f,,,,9c3hKcAh,-100|100,DeepStack,sturc.martin.1 
r200c,k,cr600f,,2s4sTsQc3cAc8c6c,-200|200,sturc.martin.4,DeepStack 
r300c,cr900c,cr1800c,k,JsKsTdJh5cJd6sQsKd,1800|-1800,sturc.martin.1,DeepStack 
f,,,,QsAh9d3h,50|-50,sturc.martin.2,DeepStack 
r300f,,,,4c7sAd9d,-100|100,DeepStack,sturc.martin.3 
f,,,,3hAdTh2d,50|-50,DeepStack,sturc.martin.2 
k,cr300r750c,r1550f,,2c7c7sJh6c5d8cAs,750|-750,sturc.martin.3,DeepStack 
r300f,,,,Td3cAdKh,-100|100,sturc.martin.2,DeepStack 
r300r600c,cr1200f,,,Ac2cKdTh7s9h3s,-600|600,DeepStack,sturc.martin.1 
r300c,k,r900f,,2h5h5s6sQs9hKcAh,300|-300,DeepStack,sturc.martin.2 
r200c,cr400f,,,4s7s5d8dKdAd6h,-200|200,sturc.martin.1,DeepStack 
f,,,,ThJc2s6c,50|-50,sturc.martin.2,DeepStack 
r300r900c,r1800f,,,KdThKsJc3c3d8h,900|-900,DeepStack,sturc.martin.2 
r300c,k,k,k,5h6d7sAh3sQd8hJd7c,-300|300,DeepStack,sturc.martin.1 
f,,,,KhQh3d2h,50|-50,sturc.martin.2,DeepStack 
r300r900c,r1800r3600f,,,QhAsQc9s3d7cTs,-1800|1800,DeepStack,sturc.martin.2 
cr400f,,,,6dAc9c6s,100|-100,sturc.martin.1,DeepStack 
r300c,cr600f,,,Ts9c4s7h5dQs4d,-300|300,sturc.martin.2,DeepStack 
r300r900c,k,k,r1800f,KcAs7c9hTh3h9sJsAc,900|-900,DeepStack,sturc.martin.1 
f,,,,4c3h3c7h,50|-50,DeepStack,sturc.martin.2 
r300f,,,,3cQhTs8s,-100|100,sturc.martin.2,DeepStack 
r300c,cr600f,,,5hQhKs8h4d8dTd,-300|300,DeepStack,sturc.martin.2 
f,,,,3s3c2c3h,50|-50,sturc.martin.1,DeepStack 
r300f,,,,4hQc7d9s,-100|100,DeepStack,sturc.martin.1 
k,r200c,k,k,2h5hKdJs3c9c3s8hAs,-200|200,sturc.martin.1,DeepStack 
k,cr300f,,,2d7h5s8sQcAs3c,-100|100,sturc.martin.2,DeepStack 
r300f,,,,7sQd8h9h,-100|100,DeepStack,sturc.martin.2 
r300f,,,,6sQh8d9h,-100|100,DeepStack,sturc.martin.1 
k,cr200f,,,8h2h3dKcAdKd4h,-100|100,sturc.martin.2,DeepStack 
r300c,cr600c,cr1200c,cr2400f,8dQsAs3cKd8h2cTh9s,-1200|1200,sturc.martin.1,DeepStack 
r300c,k,r600c,r1200c,7d8sJhQc2cJcTcKcAh,-1200|1200,DeepStack,sturc.martin.2 
r300f,,,,7c3sQd8s,-100|100,sturc.martin.2,DeepStack 
r300f,,,,Qd5sAsAh,-100|100,DeepStack,sturc.martin.1 
r300f,,,,7dJcKhQh,-100|100,DeepStack,sturc.martin.2 
r300f,,,,3sTs8hJh,-100|100,sturc.martin.1,DeepStack 
