PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r250c,k,cr625f,,5h7s2hJc6dJs7dTd,-250|250,DeepStack,sun.kaishi.1 
k,cr200f,,,5d8s7d3h4c2h9h,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625c,k,r1250f,AhTsTh3sQd9c8h5d6c,625|-625,DeepStack,sun.kaishi.1 
r300f,,,,4s6s2cAs,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,k,ThAsKh8h2c6cQs9c8s,-250|250,DeepStack,sun.kaishi.1 
f,,,,Qs3d9s3h,50|-50,sun.kaishi.1,DeepStack 
r250f,,,,Tc5h8s8d,-100|100,DeepStack,sun.kaishi.1 
r200r500c,k,k,k,9sAh4hQdQcKd6d5dAc,500|-500,sun.kaishi.1,DeepStack 
r250c,cr625f,,,5c4d5h5dTcTh6d,-250|250,DeepStack,sun.kaishi.1 
r300c,k,r750c,r1875c,9dJd6d9c2h9h7d8dTh,1875|-1875,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,9d6c2cQsJs9c5d4hJh,250|-250,DeepStack,sun.kaishi.1 
k,cr200c,k,k,8dKhKs6cQsAd8hJdQh,200|-200,sun.kaishi.1,DeepStack 
r250c,cr625c,cr1562f,,Js7hAsTcTs4c8h5s,-625|625,DeepStack,sun.kaishi.1 
r200f,,,,4s9sAh8c,-100|100,sun.kaishi.1,DeepStack 
r250r750r1250c,r3750c,r7500c,cr18750f,KcQh3d8dTh4h6d8h5c,-7500|7500,DeepStack,sun.kaishi.1 
r200r600f,,,,AcKd6s8c,200|-200,sun.kaishi.1,DeepStack 
r250c,k,r500c,r1500c,2c7cJd8dJcKh5c5h5d,-1500|1500,DeepStack,sun.kaishi.1 
f,,,,6c9d3d9c,50|-50,sun.kaishi.1,DeepStack 
r250f,,,,6h3s4cQs,-100|100,DeepStack,sun.kaishi.1 
f,,,,4h3c2d7s,50|-50,sun.kaishi.1,DeepStack 
r250f,,,,2d8cAcTc,-100|100,DeepStack,sun.kaishi.1 
r300r900c,r2700c,r6750r20000c,,KsKd7cAs7s4s2hKcJd,20000|-20000,sun.kaishi.1,DeepStack 
r250c,k,k,k,7sAdTd6s5sJh2c9hAs,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,5h7d9cAs,-100|100,sun.kaishi.1,DeepStack 
r250r750c,cr1875c,r3750f,,TsThQcTc6d3dJs8c,1875|-1875,DeepStack,sun.kaishi.1 
f,,,,Jh5c8d3h,50|-50,sun.kaishi.1,DeepStack 
r250r750f,,,,AdAsTh5d,250|-250,DeepStack,sun.kaishi.1 
k,cr200c,k,cr400c,3sAdAsJcAh5d5c7d7c,-400|400,sun.kaishi.1,DeepStack 
r250r750r1250c,k,cr2500f,,2hAhTd7d9s5s7h5d,-1250|1250,DeepStack,sun.kaishi.1 
r300f,,,,Js3cQh7d,-100|100,sun.kaishi.1,DeepStack 
r250c,cr500c,k,k,Ad6dQh2s8d8cQcJd2d,500|-500,DeepStack,sun.kaishi.1 
k,cr300f,,,9d6sJh7dTh2cAh,-100|100,sun.kaishi.1,DeepStack 
r250c,cr500c,cr1250c,k,5sKs9h4s7s3c5c6s7h,-1250|1250,DeepStack,sun.kaishi.1 
k,k,k,cr500f,2c8c3h4dQsKh5d7h9h,-100|100,sun.kaishi.1,DeepStack 
r250r750r1250c,k,r2500f,,7h6hJsKs8c9hAc5c,1250|-1250,DeepStack,sun.kaishi.1 
k,cr200c,cr600f,,7h4c4d9h7sAh3hQd,-200|200,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,Ts8h2dJcKd3sTd3d9h,250|-250,DeepStack,sun.kaishi.1 
r200f,,,,2d4h2c9c,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,r500c,Jc7s6d9h7dJsKc2s6c,500|-500,DeepStack,sun.kaishi.1 
f,,,,JhAc2h6s,50|-50,sun.kaishi.1,DeepStack 
r250r750r1250c,cr3125c,k,cr6250r18750f,QhQd6d5c7cTsTcQs5d,6250|-6250,DeepStack,sun.kaishi.1 
r300r900f,,,,JdJh6d4s,300|-300,sun.kaishi.1,DeepStack 
r250r750f,,,,AcAs7d2c,250|-250,DeepStack,sun.kaishi.1 
r300c,k,k,cr900c,QsTsKcJdAdAcThJs2c,-900|900,sun.kaishi.1,DeepStack 
r250r750c,k,k,k,AcQh3d5s4s8hJh5c4c,-750|750,DeepStack,sun.kaishi.1 
r200f,,,,2h4d3dTd,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r2250c,r4500c,r20000c,Tc7c8cAcAd8sKc6s9s,20000|-20000,DeepStack,sun.kaishi.1 
r200c,r500r1500c,k,k,Jc7hAs3s2h4s7d8h9c,1500|-1500,sun.kaishi.1,DeepStack 
r250c,k,k,k,8h9s2h7s5c4dJs2dAs,-250|250,DeepStack,sun.kaishi.1 
k,r250c,r625f,,Ad9hJs5d9sQdAc5c,250|-250,sun.kaishi.1,DeepStack 
r250f,,,,Jc5h2dAd,-100|100,DeepStack,sun.kaishi.1 
r300c,cr900f,,,Jd6dAcKsAsKh3d,-300|300,sun.kaishi.1,DeepStack 
r250f,,,,4c9sJhQh,-100|100,DeepStack,sun.kaishi.1 
k,r250c,r625f,,7h8d2d2c3s9c6c4s,250|-250,sun.kaishi.1,DeepStack 
r250c,cr625f,,,8d4dKcAcTh6s9s,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,8cQsKh9c,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,Js3c6c6d,-100|100,DeepStack,sun.kaishi.1 
k,k,k,cr300f,7dKc2cQs5c9s4dTdQh,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,k,Qs8c4sAcKd2c7sAs2s,-250|250,DeepStack,sun.kaishi.1 
k,r250c,r625f,,4s3s8d3dAs3hKd2h,250|-250,sun.kaishi.1,DeepStack 
r250c,k,k,r500r2500r20000c,9hTs6d6c7sTc9c9d6s,20000|-20000,DeepStack,sun.kaishi.1 
cr300f,,,,AdQcJc2h,100|-100,sun.kaishi.1,DeepStack 
r250c,k,k,k,AcTs2dKsJc4d3d8sQh,250|-250,DeepStack,sun.kaishi.1 
f,,,,4d7h8h3c,50|-50,sun.kaishi.1,DeepStack 
r250f,,,,5h9s8cQs,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,3d9s6d9c,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r1500c,r3000f,,8c8h9cThJc6sJd2s,1500|-1500,DeepStack,sun.kaishi.1 
r300c,r750r1500c,cr3000f,,5s5hQd8h3d2s3cJh,-1500|1500,sun.kaishi.1,DeepStack 
r250f,,,,5c8hKsJc,-100|100,DeepStack,sun.kaishi.1 
r200c,cr400c,k,k,7c9hQc6d7dKc8sJs8d,400|-400,sun.kaishi.1,DeepStack 
r250c,k,r500f,,Kh6d7c5d3h6c3sTh,250|-250,DeepStack,sun.kaishi.1 
k,k,k,k,5cJh7c4cQhAd6h4sQc,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,Js5d3d4s,-100|100,DeepStack,sun.kaishi.1 
r200c,cr400f,,,Ac7sQh7cTc3s5c,-200|200,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,4cJc9cQh3dKcAd6h7d,250|-250,DeepStack,sun.kaishi.1 
k,k,k,k,3cQh8s5s5c6cAsQd9d,100|-100,sun.kaishi.1,DeepStack 
r250c,k,k,k,Ac3s4c6hTh7s9c2s5s,250|-250,DeepStack,sun.kaishi.1 
r300c,k,k,k,2h2dQcAsTc8s4h7c6c,300|-300,sun.kaishi.1,DeepStack 
cr300c,k,k,k,6c8d7s4d9hAhAcQdKh,0|0,DeepStack,sun.kaishi.1 
k,cr300f,,,Th6hKh2c3c7d2d,-100|100,sun.kaishi.1,DeepStack 
cr300c,r600f,,,6s8c2dJs7hThQh,300|-300,DeepStack,sun.kaishi.1 
r300f,,,,7c3sAcKs,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,Jd5c2s9d,-100|100,DeepStack,sun.kaishi.1 
k,k,cr200c,k,3h7hTc6cKd9s5d4dTd,-200|200,sun.kaishi.1,DeepStack 
r250c,k,k,k,4cKsJs8dAs6d6c3c2d,250|-250,DeepStack,sun.kaishi.1 
r300c,cr900f,,,7sJd9cTc4sAhJc,-300|300,sun.kaishi.1,DeepStack 
r250f,,,,5cJs2d8d,-100|100,DeepStack,sun.kaishi.1 
cr300c,cr600c,k,k,5c5hTd6d6cKhKdAd7c,-600|600,sun.kaishi.1,DeepStack 
r250c,k,k,r500c,8cJd6hJc8h9h4d6sQc,500|-500,DeepStack,sun.kaishi.1 
r300c,k,k,k,2d2cAc4h6s4d8sQc9c,-300|300,sun.kaishi.1,DeepStack 
r250f,,,,8d4sKs5d,-100|100,DeepStack,sun.kaishi.1 
k,cr300f,,,Ks2sTh4c6c3d4d,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,k,8hKc6h9sAh9dJsAsQc,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,2h5s6dKs,-100|100,sun.kaishi.1,DeepStack 
r250r750f,,,,8h6h3c9d,250|-250,DeepStack,sun.kaishi.1 
k,cr300f,,,7s6hTs5c4dTd3d,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,7sJdQh7hTdKh4c,-250|250,DeepStack,sun.kaishi.1 
r200f,,,,6h3s9c8c,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,9hQsThAd7c4h2c,-250|250,DeepStack,sun.kaishi.1 
f,,,,7s4s3s9d,50|-50,sun.kaishi.1,DeepStack 
r250c,cr625f,,,Ad5s2h6s2cJdJc,-250|250,DeepStack,sun.kaishi.1 
r200c,r500f,,,8dTc5dKh9cQd3h,200|-200,sun.kaishi.1,DeepStack 
r250c,cr625f,,,Ks4c9d5h6c5c7h,-250|250,DeepStack,sun.kaishi.1 
k,cr200f,,,2c9hAc5d6sTs7c,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,Ks3dJs9dTh2s2h,-250|250,DeepStack,sun.kaishi.1 
r300c,k,cr900c,cr2700f,3c3s3h4s7h5dQs2dKs,-900|900,sun.kaishi.1,DeepStack 
r250c,cr625f,,,3c4cTsJsJc8s9s,-250|250,DeepStack,sun.kaishi.1 
r300r900f,,,,TsTd9d7c,300|-300,sun.kaishi.1,DeepStack 
r250c,k,k,k,Ks5c6s4d6dJdTh2h3c,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,2cTs5d6h,-100|100,sun.kaishi.1,DeepStack 
r250r750r1250c,k,cr3125c,k,9dQdKs6c4s2d8h9s3s,3125|-3125,DeepStack,sun.kaishi.1 
r300c,r750f,,,Ah6c7hJd4hTh2c,300|-300,sun.kaishi.1,DeepStack 
r250c,k,r500c,k,Tc3c6h6cJh7sQc8hJc,-500|500,DeepStack,sun.kaishi.1 
k,r250c,cr750c,cr2250f,9cKhQhJs2h9d7sJhQs,-750|750,sun.kaishi.1,DeepStack 
r250c,k,r500f,,8cTd5s4hQd9c2sKh,250|-250,DeepStack,sun.kaishi.1 
r200c,cr400c,k,k,JdKc8sKhTcTsTd5cAc,0|0,sun.kaishi.1,DeepStack 
r250r750f,,,,5d5hTd3h,250|-250,DeepStack,sun.kaishi.1 
f,,,,9sAc2s9d,50|-50,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,9d7h7d5sAd8dQsJs2d,250|-250,DeepStack,sun.kaishi.1 
k,cr300f,,,3d7c6s3hQs9c4c,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,2c3c9cKcAhTd7c,-250|250,DeepStack,sun.kaishi.1 
k,cr300f,,,Jc2d4cKh6s9hTh,-100|100,sun.kaishi.1,DeepStack 
r250r750r1250c,k,r2500c,k,7d6dAc9c5d7sQs3d8h,2500|-2500,DeepStack,sun.kaishi.1 
r300c,r750f,,,Jd9c6d4d7sAcTc,300|-300,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,Kh5h3cQdAsKc8h4c3h,250|-250,DeepStack,sun.kaishi.1 
r200c,k,r400c,cr800f,8dKcQd8h9s9dQcTh6d,-400|400,sun.kaishi.1,DeepStack 
r250r750r1875c,cr4687c,k,cr11717r20000c,QsQdKh8h2h9cQh9dTh,20000|-20000,DeepStack,sun.kaishi.1 
f,,,,9c9d3s8h,50|-50,sun.kaishi.1,DeepStack 
r250c,k,cr625f,,2sTsTcQh9d4d2dQc,-250|250,DeepStack,sun.kaishi.1 
r200c,cr600f,,,8cAhKdTd4c9cQh,-200|200,sun.kaishi.1,DeepStack 
r250r750r1250c,cr3125f,,,TcAh5c4c8s4h2c,-1250|1250,DeepStack,sun.kaishi.1 
f,,,,4h8h4s2h,50|-50,sun.kaishi.1,DeepStack 
r250r750f,,,,JdJh4cTd,250|-250,DeepStack,sun.kaishi.1 
cr250f,,,,QdAhTd3h,100|-100,sun.kaishi.1,DeepStack 
cr300c,r600c,k,r1200f,KhJs4d3hAd6h7h8cTs,600|-600,DeepStack,sun.kaishi.1 
r200f,,,,3s2d3dJd,-100|100,sun.kaishi.1,DeepStack 
r250r750f,,,,QhQs3h4c,250|-250,DeepStack,sun.kaishi.1 
r300c,cr600c,k,cr1800c,4d6c8dTh6h9d5dAd4c,1800|-1800,sun.kaishi.1,DeepStack 
r250c,cr625f,,,Qc9dKh9sKc6h7s,-250|250,DeepStack,sun.kaishi.1 
r200c,cr600c,k,k,Qs7d5c3dQcJsAc2h3c,600|-600,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,7s6hKs4c9sJd8d2c3h,250|-250,DeepStack,sun.kaishi.1 
k,r250c,r625f,,Kh7dAh2h8hKd8sTs,250|-250,sun.kaishi.1,DeepStack 
f,,,,Tc4c8h2c,50|-50,DeepStack,sun.kaishi.1 
r300c,r750c,k,k,6h7h4hKcJhQhKsAs6s,-750|750,sun.kaishi.1,DeepStack 
r250c,k,k,r500c,4dKsAs6h5c6c8cJs7h,500|-500,DeepStack,sun.kaishi.1 
k,k,k,k,6s4sTc5d6hAhTh2h9c,-100|100,sun.kaishi.1,DeepStack 
r250r750c,k,k,r1500f,Qd9d4dQc7s4cAh8cAc,750|-750,DeepStack,sun.kaishi.1 
r300c,cr600f,,,8s6d9h5h7d3sAs,-300|300,sun.kaishi.1,DeepStack 
r250c,k,r500f,,Kc8d4sAhQcTh3c8c,250|-250,DeepStack,sun.kaishi.1 
k,r250r500c,r1250f,,Qd6d4c9s3s4dTd2c,500|-500,sun.kaishi.1,DeepStack 
r250r750f,,,,JcAc8s4s,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,Tc5h6dJc,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r1500c,cr3750c,cr9375c,QcJcKd9d3d9h6cJd4d,-9375|9375,DeepStack,sun.kaishi.1 
f,,,,5d5c2c4s,50|-50,sun.kaishi.1,DeepStack 
r250c,cr625f,,,Kc3d9s8s5s6dTh,-250|250,DeepStack,sun.kaishi.1 
r300c,r750c,r1875c,r4687r20000c,6c9dTh8cTc6h6s8s5s,20000|-20000,sun.kaishi.1,DeepStack 
r250f,,,,Jc2hTh9h,-100|100,DeepStack,sun.kaishi.1 
r300r750c,k,k,k,QhTh2dTd6cTcKs4s8s,750|-750,sun.kaishi.1,DeepStack 
r250c,cr625c,r1250c,r3750f,3dTd4d9d4c6d2s6cQh,1250|-1250,DeepStack,sun.kaishi.1 
r300f,,,,3s4s7hTc,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,6c3hJdJc,-100|100,DeepStack,sun.kaishi.1 
r300c,k,k,k,Qc6cKhAs2c6s8d9d5s,300|-300,sun.kaishi.1,DeepStack 
r250c,k,k,k,Kc2cKs4h5h9hAs4sJc,-250|250,DeepStack,sun.kaishi.1 
k,k,k,k,9s2h9cQh4d4c2c5dKh,100|-100,sun.kaishi.1,DeepStack 
r250r750r1250r20000f,,,,KsAh5d5h,1250|-1250,DeepStack,sun.kaishi.1 
r200f,,,,3cJdKd2h,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,6cThQh3d,-100|100,DeepStack,sun.kaishi.1 
r300c,k,k,k,Qs4cQdJs3s4hKcAcKd,300|-300,sun.kaishi.1,DeepStack 
r250r750r1875c,cr4687f,,,Ts9sAcKc6h3hKd,-1875|1875,DeepStack,sun.kaishi.1 
r300f,,,,5hQdKdTd,-100|100,sun.kaishi.1,DeepStack 
r250r750f,,,,JdThAd3c,250|-250,DeepStack,sun.kaishi.1 
r200c,k,k,k,6c4cJd5cKd6dQh8hJs,-200|200,sun.kaishi.1,DeepStack 
r250c,k,r500c,k,5d6s4hAd8h7c2h3dQd,-500|500,DeepStack,sun.kaishi.1 
k,cr300c,k,r900f,4h6dQs7sTs9d2c5h3h,300|-300,sun.kaishi.1,DeepStack 
r250r750f,,,,Th7h3dQs,250|-250,DeepStack,sun.kaishi.1 
r200f,,,,Kh3c2sJs,-100|100,sun.kaishi.1,DeepStack 
r250c,k,cr625c,k,AdJhTs5hTdJsQhTh8c,-625|625,DeepStack,sun.kaishi.1 
r300c,r750f,,,QsTc6h7c5sTsQd,300|-300,sun.kaishi.1,DeepStack 
r250c,k,k,k,Kd2s9c5s4dAcQsTs3h,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,6s2dJh5d,-100|100,sun.kaishi.1,DeepStack 
f,,,,5sAc3dTh,50|-50,DeepStack,sun.kaishi.1 
r300c,cr600c,k,k,6d7dTd7s6cKc3s2h9s,600|-600,sun.kaishi.1,DeepStack 
r250f,,,,8d3s6h8s,-100|100,DeepStack,sun.kaishi.1 
r200c,cr400f,,,7cJcKs5cQhQc5s,-200|200,sun.kaishi.1,DeepStack 
cr300c,r600f,,,5c6c3sQc6dKh4h,300|-300,DeepStack,sun.kaishi.1 
r300f,,,,Qh4d9hQc,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,As8h6h9s6c5c6s,-250|250,DeepStack,sun.kaishi.1 
r300c,k,cr600f,,5s8c3s5h2cThJc7c,-300|300,sun.kaishi.1,DeepStack 
r250c,cr625f,,,2c8cAsJcKc4hTs,-250|250,DeepStack,sun.kaishi.1 
k,k,r250f,,6d9s3d6h2s8dJh7s,100|-100,sun.kaishi.1,DeepStack 
r250f,,,,9s5h9dJh,-100|100,DeepStack,sun.kaishi.1 
r300r750c,r1875f,,,Ah9c2s2c9h4s3d,750|-750,sun.kaishi.1,DeepStack 
r250f,,,,4sQhQs6c,-100|100,DeepStack,sun.kaishi.1 
k,k,k,k,4h5d3c4d8s4sTcJsQh,0|0,sun.kaishi.1,DeepStack 
r250r750c,k,k,k,6c7c5s9s6h9hThAdJh,-750|750,DeepStack,sun.kaishi.1 
r300f,,,,4cTh6c9d,-100|100,sun.kaishi.1,DeepStack 
r250c,k,cr625f,,4s3sJd6s7cTdAs8c,-250|250,DeepStack,sun.kaishi.1 
r300c,r750f,,,TcAh4c6dJcTh8c,300|-300,sun.kaishi.1,DeepStack 
r250c,k,k,k,Js8h6hJc5d8d7d9d5s,-250|250,DeepStack,sun.kaishi.1 
k,k,k,cr300c,6s5dTs4h9dAc6dAsAd,300|-300,sun.kaishi.1,DeepStack 
r250f,,,,2d5h6hJs,-100|100,DeepStack,sun.kaishi.1 
r200f,,,,Jh6cKd4s,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,Td8h2cJcTc3h6s8d3c,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,7h2c8dJh,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,Ts4cKd8h,-100|100,DeepStack,sun.kaishi.1 
k,cr200f,,,4cJd7s5h9dAsAc,-100|100,sun.kaishi.1,DeepStack 
r250c,k,cr625f,,6dQc8c5s4c2cJh7s,-250|250,DeepStack,sun.kaishi.1 
r300r900c,r2250f,,,AhKhKdTc3c9h7s,900|-900,sun.kaishi.1,DeepStack 
f,,,,3h2s8h3c,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,Ac8dAh8s,-100|100,sun.kaishi.1,DeepStack 
r250r750f,,,,Th9s4hKc,250|-250,DeepStack,sun.kaishi.1 
k,cr200f,,,4cKs2cKd7c6c2h,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,4dAcQcJh2cJsKs,-250|250,DeepStack,sun.kaishi.1 
f,,,,As9h2c3d,50|-50,sun.kaishi.1,DeepStack 
r250c,k,k,k,Ac3c2sQc4d5hTs8sJs,250|-250,DeepStack,sun.kaishi.1 
r300r750c,r1875c,k,k,QhThAc9c8cTd4d9d3c,1875|-1875,sun.kaishi.1,DeepStack 
r250r750f,,,,QhAsJc3c,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,Ac3hKhQh,-100|100,sun.kaishi.1,DeepStack 
f,,,,QcQdJh2c,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,9h3sQc7d,-100|100,sun.kaishi.1,DeepStack 
r250c,k,r500f,,7s6cAs8d3s5cJc6h,250|-250,DeepStack,sun.kaishi.1 
k,cr200f,,,5cTcKc3c4d9cAd,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,2c6sQsQh,-100|100,DeepStack,sun.kaishi.1 
r300c,r750c,r1875f,,QsKh8h4h6h4sQdJc,750|-750,sun.kaishi.1,DeepStack 
r250c,k,r500c,r1000f,Jc8s4h5sTcQd2s4dJs,500|-500,DeepStack,sun.kaishi.1 
r300f,,,,3h7dKc6h,-100|100,sun.kaishi.1,DeepStack 
f,,,,Qh7h4s3h,50|-50,DeepStack,sun.kaishi.1 
f,,,,8cAc6h2c,50|-50,sun.kaishi.1,DeepStack 
r250r750f,,,,KdJdTh4c,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,Tc6hKhQh,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,r500c,8d6h7d5cAc5dJhAd8h,500|-500,DeepStack,sun.kaishi.1 
r200c,cr600f,,,JdQh9d7s2d5sAs,-200|200,sun.kaishi.1,DeepStack 
f,,,,7c3h2h9d,50|-50,DeepStack,sun.kaishi.1 
k,r250f,,,4hJh9c4d6cJs5d,100|-100,sun.kaishi.1,DeepStack 
r250c,k,k,k,Kh7c3c3h5c6hAcTc5s,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,9d4dTs7h,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,8s3hAs4s,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,Kc4h4sJs,-100|100,sun.kaishi.1,DeepStack 
r250c,k,k,r500f,6sAcQh7dJd4c2dKsAd,250|-250,DeepStack,sun.kaishi.1 
r200f,,,,2c2s5dAd,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,7s8hKcQhAcJc9s,-250|250,DeepStack,sun.kaishi.1 
k,k,k,k,TcQs8c9d4h5hAh3sKh,100|-100,sun.kaishi.1,DeepStack 
r250c,cr625c,k,r1250f,7cJh5s8d9cAs8h6c2c,625|-625,DeepStack,sun.kaishi.1 
r200c,r500c,cr1000f,,8dQd4hKdKh9d8sAh,-500|500,sun.kaishi.1,DeepStack 
r250f,,,,3h4c5s5d,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,7s6dQd3d,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,9cAhAdAcKh8s5s,-250|250,DeepStack,sun.kaishi.1 
k,k,r250c,k,6h9hJcKsTd8dQs3h3c,-250|250,sun.kaishi.1,DeepStack 
f,,,,Qs9c7c6s,50|-50,DeepStack,sun.kaishi.1 
f,,,,Tc5s6s2d,50|-50,sun.kaishi.1,DeepStack 
r250r750f,,,,KdQsQd4c,250|-250,DeepStack,sun.kaishi.1 
k,k,cr200f,,2cTs8c4d4c4s3d3h,-100|100,sun.kaishi.1,DeepStack 
r250r750r1250c,r3750f,,,QhKd2hJhTsTc5c,1250|-1250,DeepStack,sun.kaishi.1 
r300c,k,r750f,,9sJs4c5s2hTdKcQc,300|-300,sun.kaishi.1,DeepStack 
cr300c,r600c,r1200c,r2400c,TsJs5sKdKh9cKc7dJh,-2400|2400,DeepStack,sun.kaishi.1 
r300c,k,r750f,,Ts9s6c7c2sThQd8s,300|-300,sun.kaishi.1,DeepStack 
r250f,,,,4h6cTh8h,-100|100,DeepStack,sun.kaishi.1 
cr300f,,,,AsQs4s8h,100|-100,sun.kaishi.1,DeepStack 
r250c,k,cr625f,,5hJhTsJd6hKd4dQs,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,6cTs7d4s,-100|100,sun.kaishi.1,DeepStack 
k,k,k,k,8h4dKc4s2h6cAdQs4h,-100|100,DeepStack,sun.kaishi.1 
r300r750r20000f,,,,8c9cKsAh,-750|750,sun.kaishi.1,DeepStack 
k,k,r200c,k,Jh7s6dAd4hTh4d2d6c,-200|200,DeepStack,sun.kaishi.1 
r300f,,,,8s6c6dAd,-100|100,sun.kaishi.1,DeepStack 
cr300c,r600f,,,4s6h5dJs2d6s7d,300|-300,DeepStack,sun.kaishi.1 
cr250c,r625f,,,QhTc9cAh5h6cQs,250|-250,sun.kaishi.1,DeepStack 
r250r750c,cr1875c,r5625r20000c,,QsKh9c7d8cTdJcAh7h,20000|-20000,DeepStack,sun.kaishi.1 
k,k,cr200c,cr600f,5sJh8s4hKcAsKh5cTs,-200|200,sun.kaishi.1,DeepStack 
f,,,,8dAd8s2c,50|-50,DeepStack,sun.kaishi.1 
r300r750c,k,k,k,Js9hJc9sAcQcQdKh8h,0|0,sun.kaishi.1,DeepStack 
r250c,k,k,k,8d7s5s2c9c8c2dAc7d,250|-250,DeepStack,sun.kaishi.1 
r300f,,,,Kh6s8h7c,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,3hTs6d3d,-100|100,DeepStack,sun.kaishi.1 
k,cr300f,,,2hQc8h4s5dTc7s,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,6hJd2hAd,-100|100,DeepStack,sun.kaishi.1 
cr250f,,,,7sTs3hTd,100|-100,sun.kaishi.1,DeepStack 
r250c,k,k,k,3hAhTc3s5h4h7hTdKs,250|-250,DeepStack,sun.kaishi.1 
r300c,r750c,r1875c,cr5625f,9sTcKcQc8s5d7c3cQh,-1875|1875,sun.kaishi.1,DeepStack 
cr300c,r600c,k,r3000f,JdTdKd2h2dThJhJs7d,600|-600,DeepStack,sun.kaishi.1 
r200r500c,r1250c,k,k,9dQsThQh9s5dJd3dTs,-1250|1250,sun.kaishi.1,DeepStack 
r250c,k,r750f,,3sKs6s2cJcQcAs5s,250|-250,DeepStack,sun.kaishi.1 
cr300f,,,,AhTd7h4d,100|-100,sun.kaishi.1,DeepStack 
cr300c,cr750f,,,8hQh8c7d9s6dKs,-300|300,DeepStack,sun.kaishi.1 
r200c,k,k,cr400c,As9c8sKh5cQc4h2h8h,-400|400,sun.kaishi.1,DeepStack 
r250r750c,r1500c,k,k,9cAcKdJhTsJs5c9s8d,-1500|1500,DeepStack,sun.kaishi.1 
f,,,,5sAd9d3s,50|-50,sun.kaishi.1,DeepStack 
r250f,,,,5d8s6d9c,-100|100,DeepStack,sun.kaishi.1 
r300c,r750c,k,k,8d5hQs4d3c5s2c4h4c,-750|750,sun.kaishi.1,DeepStack 
r250c,k,r500c,r1000f,Td6d7c5h5sTs4s6cKh,500|-500,DeepStack,sun.kaishi.1 
k,cr300c,cr900f,,4c7sJhTh9c5d7cJs,-300|300,sun.kaishi.1,DeepStack 
r300f,,,,Js7cJhTc,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,8s2sKcAs,-100|100,sun.kaishi.1,DeepStack 
r300c,k,k,k,8h9cQhKc7h2d5s5c4s,-300|300,DeepStack,sun.kaishi.1 
r300c,cr600f,,,QsJs7d5d7hAc7s,-300|300,sun.kaishi.1,DeepStack 
f,,,,5c4h2h7d,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,7d4s4hJc,-100|100,sun.kaishi.1,DeepStack 
