PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,3h9c5d2h,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,Qh6cKh8h,-100|100,sun.kaishi.2,DeepStack 
f,,,,KsJhKd8d,50|-50,DeepStack,sun.kaishi.2 
cr300c,r900f,,,TsAd6h7dAs9h4c,300|-300,sun.kaishi.1,DeepStack 
r300f,,,,6cJs8sAs,-100|100,sun.kaishi.2,DeepStack 
f,,,,7sJh7cAh,50|-50,DeepStack,sun.kaishi.1 
f,,,,5d3sQh2c,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,Th4c9d4sAs7h8c,-100|100,sun.kaishi.1,DeepStack 
f,,,,5c6h9h3c,50|-50,sun.kaishi.2,DeepStack 
r300c,cr750f,,,4cAhKdAd5c5s6h,-300|300,DeepStack,sun.kaishi.2 
f,,,,5h7sJd7c,50|-50,DeepStack,sun.kaishi.1 
r200c,k,k,k,AdTsJs8c3cAcKc6s9h,200|-200,sun.kaishi.2,DeepStack 
k,r300f,,,9hQh9sAc8hQd6h,100|-100,sun.kaishi.1,DeepStack 
f,,,,9d9s7cKc,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,6s4h9h7h,-100|100,sun.kaishi.2,DeepStack 
f,,,,Js3d2hKs,50|-50,DeepStack,sun.kaishi.1 
f,,,,Ad8c6hJd,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Ah6d5cJd,-100|100,sun.kaishi.1,DeepStack 
r300r750c,k,k,cr2250f,KsTc8hQc7s2s2cQh3c,-750|750,sun.kaishi.2,DeepStack 
f,,,,4d5d2c7h,50|-50,DeepStack,sun.kaishi.1 
f,,,,QhTh3c8d,50|-50,sun.kaishi.1,DeepStack 
r300r900c,k,r1800r5400r20000c,,9s9h3h3cAd9c5c3d7c,20000|-20000,DeepStack,sun.kaishi.1 
f,,,,3cAsAd3h,50|-50,DeepStack,sun.kaishi.2 
r200c,cr400f,,,TcJs6dJh3s4h4s,-200|200,sun.kaishi.2,DeepStack 
f,,,,2dAd2sKh,50|-50,DeepStack,sun.kaishi.2 
k,cr300f,,,5s4h4dTh8dQs5c,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,5c7d2s2h,-100|100,sun.kaishi.1,DeepStack 
f,,,,TsQc2s7h,50|-50,DeepStack,sun.kaishi.1 
f,,,,6d2h2sTd,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,2c4cQh7d,-100|100,sun.kaishi.1,DeepStack 
k,k,k,r300f,6d7s7dTdJcKc9h6h7c,100|-100,sun.kaishi.2,DeepStack 
f,,,,5dAh5c3d,50|-50,DeepStack,sun.kaishi.1 
r300r900f,,,,6s6cKh2s,300|-300,sun.kaishi.1,DeepStack 
f,,,,8d9cKc6c,50|-50,DeepStack,sun.kaishi.2 
f,,,,4h4c9c3h,50|-50,DeepStack,sun.kaishi.1 
r300r900f,,,,AcAdQh3d,300|-300,sun.kaishi.1,DeepStack 
f,,,,QhAh2h5d,50|-50,DeepStack,sun.kaishi.1 
cr300f,,,,KhJh4dTs,100|-100,sun.kaishi.1,DeepStack 
f,,,,Ah5h9s4h,50|-50,DeepStack,sun.kaishi.1 
k,k,cr300f,,8hAd3sKcThKh6dJc,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,5h2dKdQs,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,5h6hAdJd,-100|100,sun.kaishi.1,DeepStack 
f,,,,8h5d5s2c,50|-50,DeepStack,sun.kaishi.1 
k,cr300f,,,3s5h6c3hAc3cAs,-100|100,sun.kaishi.1,DeepStack 
f,,,,5c7h9d9s,50|-50,DeepStack,sun.kaishi.1 
k,cr200f,,,4s8cTs3cJcAh3s,-100|100,sun.kaishi.1,DeepStack 
r200f,,,,Qh7dQsAs,-100|100,sun.kaishi.2,DeepStack 
f,,,,5s4sQd5d,50|-50,DeepStack,sun.kaishi.1 
r300r900c,r1800r5400c,cr13500c,cr20000c,KdKsAdJhAc9dAh3hJd,-20000|20000,DeepStack,sun.kaishi.2 
k,k,k,cr300c,Ac9hKh8h8c2h2c6d9c,300|-300,sun.kaishi.1,DeepStack 
r300r900f,,,,KhAd8hJd,300|-300,sun.kaishi.2,DeepStack 
f,,,,TsTc4c3s,50|-50,DeepStack,sun.kaishi.1 
f,,,,8s2c5s5h,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,KdTh4sTs,-100|100,sun.kaishi.1,DeepStack 
r200f,,,,Ah8d7c9h,-100|100,sun.kaishi.2,DeepStack 
f,,,,9cTc7d5h,50|-50,DeepStack,sun.kaishi.2 
f,,,,8c7sTc4h,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,9h8d4s6s,-100|100,sun.kaishi.1,DeepStack 
k,cr200f,,,4c2h8d4h6cJd7s,-100|100,sun.kaishi.2,DeepStack 
f,,,,6dKc3s8d,50|-50,DeepStack,sun.kaishi.1 
f,,,,Kh3h8s6h,50|-50,DeepStack,sun.kaishi.2 
k,cr300f,,,2hJsKh3sKs8d3c,-100|100,sun.kaishi.1,DeepStack 
f,,,,9cKc3d8s,50|-50,sun.kaishi.2,DeepStack 
f,,,,8c2sJc2d,50|-50,DeepStack,sun.kaishi.2 
