PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r200c,cr500c,cr1000f,,Ac5h8hTc6s6h7cJc,-500|500,DeepStack,sethi.muskan.1 
cr250c,r500c,r1500c,k,6sAc6d7s5d9h4d6cQh,1500|-1500,sethi.muskan.1,DeepStack 
r200c,cr600f,,,Js4sKs4cKc9c3d,-200|200,DeepStack,sethi.muskan.1 
r200r500c,r1250f,,,9sAhAs6cQcQs5d,500|-500,sethi.muskan.1,DeepStack 
r200r600c,k,r1800f,,4cAc5hAsQsTd2h7d,600|-600,DeepStack,sethi.muskan.1 
f,,,,4d3s4s2d,50|-50,sethi.muskan.1,DeepStack 
r200c,cr500f,,,7cAh9s7h2d6s8s,-200|200,DeepStack,sethi.muskan.1 
f,,,,7cTc5h2c,50|-50,sethi.muskan.1,DeepStack 
r200r600r1000c,r2000r3000c,cr9000f,,Qc8cKcKd7d9sJc4d,-3000|3000,DeepStack,sethi.muskan.1 
r300c,k,r750f,,Kd2c6c7hQcKs9s4c,300|-300,sethi.muskan.1,DeepStack 
r200f,,,,2s5cKdQh,-100|100,DeepStack,sethi.muskan.1 
r300c,r750f,,,Jh7hJd7c3s4cTc,300|-300,sethi.muskan.1,DeepStack 
r200c,cr400c,k,r800f,7s5dKc4s6dQdAh9s4h,400|-400,DeepStack,sethi.muskan.1 
r300r750c,r1875c,cr3750c,r9375r20000f,QcTs5s7s5dJcKh8c2s,-9375|9375,sethi.muskan.1,DeepStack 
r200c,cr600f,,,6c9s2hQcQdTcJd,-200|200,DeepStack,sethi.muskan.1 
r200r500c,r1250f,,,KsJc7c8h5hQhQc,500|-500,sethi.muskan.1,DeepStack 
r200r600f,,,,QsAh7h3c,200|-200,DeepStack,sethi.muskan.1 
cr250c,r750c,cr1500f,,7s7dJc7c6hJsJd3d,-750|750,sethi.muskan.1,DeepStack 
r200f,,,,6h3dTs9d,-100|100,DeepStack,sethi.muskan.1 
k,cr200c,cr600r1500f,,6h2d9d3h4c8dJhTh,600|-600,sethi.muskan.1,DeepStack 
r200c,cr600f,,,QcTd8cTc2s6d3d,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,3c2sAdQc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,4d2d3hKhJs5h9d,-200|200,DeepStack,sethi.muskan.1 
r200c,cr600c,cr1800c,k,9s8c3h5dJdTcAsKd9h,1800|-1800,sethi.muskan.1,DeepStack 
f,,,,7dQs4c6d,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,2sJc8hTc,-100|100,sethi.muskan.1,DeepStack 
r200c,k,k,cr400c,3hJd6cTc3s7h9hKc7c,400|-400,DeepStack,sethi.muskan.1 
k,r200c,cr400f,,4sQd8h6hKh2c6s8d,-200|200,sethi.muskan.1,DeepStack 
r200c,cr400c,k,r800f,4cJhAc9s8sQdJdQc2s,400|-400,DeepStack,sethi.muskan.1 
r300f,,,,6s5h4h4s,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600r1200c,r3600f,,Qs6cAd2sQc2c6s3d,1200|-1200,DeepStack,sethi.muskan.1 
f,,,,2d5h8h2s,50|-50,sethi.muskan.1,DeepStack 
f,,,,2sQd4h9s,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r2700r5400f,,,Ac8c3d4d5d4s4h,-2700|2700,sethi.muskan.1,DeepStack 
f,,,,Jh7dKh3d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Qs2cQcTs,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,3c8sKhJc,-100|100,DeepStack,sethi.muskan.1 
r300c,k,k,r600r1200f,Kd2c9h7h9c7s8d5cAh,-600|600,sethi.muskan.1,DeepStack 
r300c,cr900c,k,cr2700c,Qh8c2sAd9cAcQdTd3c,-2700|2700,DeepStack,sethi.muskan.1 
r300r750c,r1875r3750f,,,TsAhAc6c6d7c6s,-1875|1875,sethi.muskan.1,DeepStack 
r200c,cr500f,,,3hKh5hQc6d5cJd,-200|200,DeepStack,sethi.muskan.1 
r200c,cr400r800f,,,8hKc7cKs9sTs9h,400|-400,sethi.muskan.1,DeepStack 
r200c,k,k,r600f,7dJh8dKc9hJs3sQcQs,200|-200,DeepStack,sethi.muskan.1 
r300f,,,,8d9cJsAh,-100|100,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Td8sAs3s7c3c5s,-200|200,DeepStack,sethi.muskan.1 
k,cr200f,,,9h4c2h7hAcTs5d,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,3c8dAd2s,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,Js2c2dKc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500c,cr1500f,,AdThJcAc4c3dQh7c,-500|500,DeepStack,sethi.muskan.1 
cr300f,,,,JsKhJh6d,100|-100,sethi.muskan.1,DeepStack 
r200c,k,k,cr500f,2sJc2cAcTh3d7dTs4s,-200|200,DeepStack,sethi.muskan.1 
k,k,cr200c,cr400f,2hQsJd3hKsTs3cJs4d,-200|200,sethi.muskan.1,DeepStack 
f,,,,Kh2h3c8d,50|-50,DeepStack,sethi.muskan.1 
r300c,k,r750f,,8s9dAd7s5cThJsTs,300|-300,sethi.muskan.1,DeepStack 
k,cr300c,cr900c,cr4500f,Qc6d9sTd6hTcTs3h4s,-900|900,DeepStack,sethi.muskan.1 
cr200c,r500c,r1250c,r3750f,Qd9d7c4s5s7d2dJdTs,1250|-1250,sethi.muskan.1,DeepStack 
f,,,,6s5h3c4s,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,9c2s4dKc,-100|100,sethi.muskan.1,DeepStack 
f,,,,TcTd2c7s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6hQc6s7c,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,6sKd9dKh7h6d8c,-200|200,DeepStack,sethi.muskan.1 
r300c,k,r900c,r2250f,Kh3h9hTd6s7sKdTh7d,900|-900,sethi.muskan.1,DeepStack 
cr300c,cr600f,,,4d4h6cKd9hAsQd,-300|300,DeepStack,sethi.muskan.1 
r300f,,,,6s8dJdAd,-100|100,sethi.muskan.1,DeepStack 
f,,,,TdKh7h2s,50|-50,DeepStack,sethi.muskan.1 
k,r300c,r750c,r1875c,Jc2c9sAhAcTh8cQd2h,-1875|1875,sethi.muskan.1,DeepStack 
f,,,,Kc6s5h7d,50|-50,DeepStack,sethi.muskan.1 
k,r300c,r900f,,5hQs4cTdTs7s5s3s,300|-300,sethi.muskan.1,DeepStack 
r200c,cr600f,,,Kc7dTdQc5s9sTh,-200|200,DeepStack,sethi.muskan.1 
r200c,cr600f,,,6cAsQhAd8cTh3d,-200|200,sethi.muskan.1,DeepStack 
f,,,,6s7c2c3s,50|-50,DeepStack,sethi.muskan.1 
r300c,r900f,,,JhTc8dKh2cThJs,300|-300,sethi.muskan.1,DeepStack 
f,,,,Kc4s3d6h,50|-50,DeepStack,sethi.muskan.1 
cr200c,r500f,,,Ac7sJs5c6d2hTs,200|-200,sethi.muskan.1,DeepStack 
f,,,,4d5dTs6h,50|-50,DeepStack,sethi.muskan.1 
k,k,cr200f,,8s9s5sJh4c3dAhQh,-100|100,sethi.muskan.1,DeepStack 
r250r750r1250c,cr3125c,cr6250c,cr20000c,JsTc9s9dQcTsThJdKd,20000|-20000,DeepStack,sethi.muskan.1 
k,r200c,k,r500c,2c9h5c7h4s8d7d8s2h,-500|500,sethi.muskan.1,DeepStack 
r200r20000f,,,,Jc9s8s2s,200|-200,DeepStack,sethi.muskan.1 
