PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,k,k,k,3hKhQs6s8h4hKc5d2c,300|-300,DeepStack,parlavecchio.antonio.3 
r300c,cr900c,k,k,TdAd7dJd2s9d6s5c9s,900|-900,parlavecchio.antonio.4,DeepStack 
r300f,,,,4c7hJcAd,-100|100,DeepStack,parlavecchio.antonio.4 
k,k,r300f,,6hJdAh9c5sJs3cTh,100|-100,parlavecchio.antonio.4,DeepStack 
r300c,cr600r900c,r2250c,k,5h2d6c6h4d4h2h5cKh,-2250|2250,parlavecchio.antonio.3,DeepStack 
f,,,,2s9h9c4h,50|-50,DeepStack,parlavecchio.antonio.4 
r200f,,,,7s2h4h9h,-100|100,parlavecchio.antonio.4,DeepStack 
r200r600c,r1200f,,,Ad4d6hQh8dKs2s,600|-600,DeepStack,parlavecchio.antonio.4 
r300c,cr900c,k,k,5hKh2dAs4dTh6h9hQs,900|-900,DeepStack,parlavecchio.antonio.3 
r300f,,,,2c6c2dQd,-100|100,parlavecchio.antonio.4,DeepStack 
f,,,,8h7h2dJh,50|-50,DeepStack,parlavecchio.antonio.4 
r200f,,,,4d2hJs5d,-100|100,parlavecchio.antonio.4,DeepStack 
f,,,,7hAdKc3h,50|-50,DeepStack,parlavecchio.antonio.4 
r300r900c,k,k,r1800c,QdQsAs6sAd8sKd4h7h,-1800|1800,parlavecchio.antonio.4,DeepStack 
f,,,,4d3d6s9d,50|-50,DeepStack,parlavecchio.antonio.4 
r300c,cr900c,cr1800c,cr20000f,Qc8cTdThTs4d9sQsTc,-1800|1800,parlavecchio.antonio.4,DeepStack 
r200c,k,cr500c,k,Ad4c7h3hThKsTd7s9h,-500|500,DeepStack,parlavecchio.antonio.4 
r300f,,,,6hTd2h5h,-100|100,parlavecchio.antonio.4,DeepStack 
r200c,k,r400f,,7d5c4c2c2sQh5h7s,200|-200,DeepStack,parlavecchio.antonio.4 
r300c,cr600r900f,,,7dKd9cTc3d4d6d,600|-600,parlavecchio.antonio.4,DeepStack 
r200r600c,r1200r1800c,cr3600r7200c,r14400c,8c8d5cTc3h2s5h8s5d,14400|-14400,DeepStack,parlavecchio.antonio.4 
r300c,cr600c,cr1800c,k,3cJc7d8sTc5sQhKh2d,1800|-1800,parlavecchio.antonio.3,DeepStack 
k,cr200c,cr600f,,5h2c6s8hTh3hQhAd,-200|200,parlavecchio.antonio.4,DeepStack 
r200c,cr500f,,,Jd6c6d2d5h4s8c,-200|200,DeepStack,parlavecchio.antonio.4 
