PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
k,k,k,r200f,3cQh9d5cTc8hTs4cAc,100|-100,lesnoy.dmitry.1,DeepStack 
f,,,,JcKhJs3d,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,2hTc5s4h,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,7d2sAc9c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,cr1800f,,4d7s9s6s9c3h6c6d,-600|600,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,cr1250c,cr3125c,9c8dJh9s8c4hAd9hAs,-3125|3125,DeepStack,lesnoy.dmitry.1 
r300c,k,cr900f,,6d8hKh5s6cTsAcJs,-300|300,lesnoy.dmitry.1,DeepStack 
r300f,,,,2dQc5dAd,-100|100,DeepStack,lesnoy.dmitry.1 
cr300c,r750c,r1875f,,5dAs5sAh2s8s4s2d,750|-750,lesnoy.dmitry.1,DeepStack 
r300f,,,,6h2hTd9d,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,3hQc6c7h,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1500c,k,k,9s9c4dKcAhJc4c5c8d,1500|-1500,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,r1500f,,5h4sTh8s5cQd5dKh,600|-600,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,7dKhTc4c3hAdJc,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,k,Ac8d6s4s7s6cJd2sTc,-400|400,lesnoy.dmitry.1,DeepStack 
cr300c,r600r1500f,,,8dKc9c2c9h5d8s,-600|600,DeepStack,lesnoy.dmitry.1 
k,k,r300f,,2cTd9c4h6dJcAhKh,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,6h4s9dTh9h8dAd,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,4dKs6h9c8c3h9h,-300|300,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,5h3dQdQsTs2c8c,-200|200,DeepStack,lesnoy.dmitry.1 
cr300c,r900f,,,4s7s9d6cAc4c7h,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jh6c2h8h,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,Qd8sQs8h3c2s6s,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,k,k,k,7cTs5cTcJdKh6d2c6s,0|0,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,ThTsQh7s,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,3s4h9c9s,-100|100,DeepStack,lesnoy.dmitry.1 
cr300f,,,,9cKc3hTs,100|-100,lesnoy.dmitry.1,DeepStack 
f,,,,6h3h4d8h,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,Kc5d7h2d,50|-50,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800f,,,9dKd9s7sQs4hTd,900|-900,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,Tc6h8hQd2hKc7d,200|-200,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,TcTs5s8c2c9s2d,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,7c6c7d9h,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,TdQc2d7s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,4c3s9h2c,50|-50,lesnoy.dmitry.1,DeepStack 
r300f,,,,4h9dTd9s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,cr1800f,,Qc9dJhAs2d8dTsAd,-600|600,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,4cJd7d6hAdQd6s,-200|200,DeepStack,lesnoy.dmitry.1 
k,r200r600c,cr1800c,cr3600c,As5sJc6c2cTsJd6sAd,-3600|3600,lesnoy.dmitry.1,DeepStack 
r300c,k,r900c,r2700c,Qc8d9s8c6h2s9c2d7d,-2700|2700,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r2250f,,8s3sJdAh9c4h5d6c,750|-750,lesnoy.dmitry.1,DeepStack 
r300f,,,,4hKs2s2c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,r1000c,6cAsQd4s4c7sJsAhKh,1000|-1000,lesnoy.dmitry.1,DeepStack 
r300r900f,,,,KsTsQh8s,300|-300,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,k,4h3s7cJd8cQhJs6s9d,-500|500,lesnoy.dmitry.1,DeepStack 
k,cr250c,r500f,,7hAd4c6h8hAcAh8d,250|-250,DeepStack,lesnoy.dmitry.1 
cr300f,,,,KsQhTd2h,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,2h6dQdJh,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,r1000f,3c7sKhTd6dAcAhJc2d,400|-400,lesnoy.dmitry.1,DeepStack 
f,,,,5sAd3c8s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr900c,r2250f,,TcTd9hKs2h5sJs5c,900|-900,lesnoy.dmitry.1,DeepStack 
r300f,,,,Td5c6s5s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,k,r1500f,7dJhJs8hTd4hKs6c9c,600|-600,lesnoy.dmitry.1,DeepStack 
k,k,r300f,,5h2d2hQsAh6hJc4h,100|-100,DeepStack,lesnoy.dmitry.1 
r300c,cr900c,k,k,5cJc6c9sTsKdJsJhAc,900|-900,lesnoy.dmitry.1,DeepStack 
r300f,,,,4d9hAc8h,-100|100,DeepStack,lesnoy.dmitry.1 
cr300c,k,r750c,cr3750c,AhTc6dJsAd5cQdKd8c,3750|-3750,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,6d9sKsKc2c7sJd,-200|200,DeepStack,lesnoy.dmitry.1 
k,cr200c,k,k,KdKsTs2hAd5sAs7sJh,200|-200,lesnoy.dmitry.1,DeepStack 
f,,,,4c3d4dJh,50|-50,DeepStack,lesnoy.dmitry.1 
r200r300c,r750f,,,AhAs7c6dTc7dKh,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,2dJs7sTsAh8sAd,-200|200,DeepStack,lesnoy.dmitry.1 
k,r200f,,,5cQcKd6d3s8cJs,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,9c3d5hAc,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200c,r600c,k,Ks4dQd9s7hTs9cTh2s,-600|600,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,Js2h7d9s6d3c3h,-200|200,DeepStack,lesnoy.dmitry.1 
f,,,,7cQs9c3s,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,cr600f,,,Th9cKhJc4h6hAd,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,4h6s9cQcQh2c7s,-300|300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,6c5h5d7c9d2s5sAcKs,0|0,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,Qd9dAhJd5hThAd,-200|200,lesnoy.dmitry.1,DeepStack 
r200c,cr600c,k,cr1200f,8c7hThQs6dQc8d6s5s,-600|600,DeepStack,lesnoy.dmitry.1 
r300c,k,r750f,,Qs4h4cTc5hQd6d2c,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,k,r400c,r800f,9c7h5s9s7d4dQsQcTd,400|-400,DeepStack,lesnoy.dmitry.1 
r300c,r600f,,,KcTh5d9h4sQh3c,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,8s4d9c4c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,6c5c3sAh8dTd4dKhJs,-200|200,lesnoy.dmitry.1,DeepStack 
r200c,k,k,k,Ad9sTh7h6cQcKs8c2s,200|-200,DeepStack,lesnoy.dmitry.1 
r300f,,,,9d5cTs7h,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,4s2hQhKc,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r1875c,cr3750f,JdAc4d4s4h9h4cAh9c,-1875|1875,lesnoy.dmitry.1,DeepStack 
r200c,cr500r1000f,,,2dKh9sKs2c6dTh,500|-500,DeepStack,lesnoy.dmitry.1 
cr300f,,,,AdTh3dJs,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750c,k,Ks6dQh5h8cKd2hQcTh,750|-750,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600c,r1800f,TsKs4dJc9s9cQdKcKd,600|-600,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,k,TsKc6h9h3d7dTh6dQd,750|-750,DeepStack,lesnoy.dmitry.1 
r300c,k,r750f,,7dJdKh7c2h8cJs3c,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,5c8hAcTh,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200c,r300c,r750c,3cKh5cJd5sQc2h6h4h,750|-750,lesnoy.dmitry.1,DeepStack 
r200c,k,cr500c,k,Qd3h2d8d9s3sQc9d4d,500|-500,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,k,8cAsKd8sKh7hAdQc6d,600|-600,lesnoy.dmitry.1,DeepStack 
r300r600c,k,k,k,AdTd4d2d8d6d6c8hJc,600|-600,DeepStack,lesnoy.dmitry.1 
r300f,,,,Tc7sTs9d,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,5h8d3dQh,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300f,,,JhJd4sTd8c2c5s,100|-100,lesnoy.dmitry.1,DeepStack 
cr300c,k,r600c,cr1200f,9c5c5sKhAh8h7hAc2h,-600|600,DeepStack,lesnoy.dmitry.1 
r300f,,,,7s2dTh9c,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,QsAh2h9d,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,3hJs2sAh7h3dTs,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jc7h5c4d,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400f,,,2hKsTs7c9c7dAd,-200|200,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Kh3s2dKd9c4h2s,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,Js5dKd5c2c3dTc,-200|200,lesnoy.dmitry.1,DeepStack 
r300c,k,r900f,,QdJhQhKs2d5d6d4c,300|-300,DeepStack,lesnoy.dmitry.1 
r200f,,,,9s4dQh7d,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,cr1000f,,7hAcTs9c9hKc3dKd,-500|500,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r750c,9h3hKsQsQh5sAd5c2d,-750|750,lesnoy.dmitry.1,DeepStack 
f,,,,4d8d5cJd,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,r400c,cr1200c,r3600f,7h4hTcJd5cAs8h2c3c,1200|-1200,lesnoy.dmitry.1,DeepStack 
f,,,,8dJh5h8s,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,3dQs3cKh8sTh9d,200|-200,lesnoy.dmitry.1,DeepStack 
cr300r20000f,,,,Td9cAcAh,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600c,cr1800c,9s6s7cJsQcTd9h3s6d,1800|-1800,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Qh7dKsQdKd9s8c,-200|200,DeepStack,lesnoy.dmitry.1 
k,r200f,,,Qh8h2hTs3hAcJh,100|-100,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,9c7s9h6c3cAs3s,300|-300,DeepStack,lesnoy.dmitry.1 
f,,,,3cTs2d6h,50|-50,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,5c2c9c4cQd2d7d,300|-300,DeepStack,lesnoy.dmitry.1 
cr300f,,,,4h4sJh3d,100|-100,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,k,k,9dTd8c2cTs7sQc5cAh,1200|-1200,DeepStack,lesnoy.dmitry.1 
r300r900c,r2700f,,,3hAh6d6cTdKhQc,900|-900,lesnoy.dmitry.1,DeepStack 
k,k,cr300c,cr900f,2sJd6c8sQhJh5hKd5d,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,r750c,k,k,7s4sTdJd6hTc7h5h8c,750|-750,lesnoy.dmitry.1,DeepStack 
f,,,,7h5h3h8d,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,4sThQh4c,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,cr1875c,cr4687r14061c,4cTcKsTsQc9c3sJc7h,14061|-14061,DeepStack,lesnoy.dmitry.1 
k,r300r600c,k,cr1800f,5c9dTs8cKc9c2hQh3d,-600|600,lesnoy.dmitry.1,DeepStack 
r200c,k,r400f,,Jc3sTd7s2cKd5s5c,200|-200,DeepStack,lesnoy.dmitry.1 
cr300c,cr600c,cr1800f,,2hKhQcTh4hJd2cAs,-600|600,lesnoy.dmitry.1,DeepStack 
r200r600r1800c,k,r3600c,r7200f,JcJdAhQh8c7c9d5hTd,3600|-3600,DeepStack,lesnoy.dmitry.1 
r300c,r900c,r2250c,cr6750f,7c5cAc3s4s5s2hQdAh,-2250|2250,lesnoy.dmitry.1,DeepStack 
r300f,,,,Td4hJhJs,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,Qh4c5h2d,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,3c8cJh2d,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,2hTh9c2d,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,Td9s7s3h,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,7s8d3h9d,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr500r1500c,r3000c,r6000c,Kd9sAhKs4h9d3cTc3d,6000|-6000,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,r2700c,cr5400f,TcJd4cKc2cQd3hQc9h,-2700|2700,lesnoy.dmitry.1,DeepStack 
r300f,,,,9s3dQhQc,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r300c,r750f,,3s6hQd5h4c8c7c4d,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,5s6c8d8sQc2s9c,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,r500c,k,k,Js2h2dJdKs5s2cQh7h,0|0,lesnoy.dmitry.1,DeepStack 
r300c,cr600f,,,QhTs6cJc5c3d5h,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,Ks6cAd3c2cTs4d,-200|200,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800f,,,6h7h6d2d4cAs8c,900|-900,DeepStack,lesnoy.dmitry.1 
r200r1000f,,,,2s2c5c3s,200|-200,lesnoy.dmitry.1,DeepStack 
r200f,,,,8d2cJs7c,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,r250c,k,8s4d9sThTd3cKdQdAc,-250|250,lesnoy.dmitry.1,DeepStack 
k,k,r300c,cr900f,6dQh7cJs3cTc4d5d9d,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r2250c,cr4500c,5hKhAc8h5c3hAh8sAd,-4500|4500,lesnoy.dmitry.1,DeepStack 
f,,,,2s7sQh6s,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900c,r2700c,r8100c,r20000c,7dKd5d6d4d9d3d6c9h,20000|-20000,lesnoy.dmitry.1,DeepStack 
f,,,,AcKh8c5d,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,r600c,k,cr1800f,QsJcJdQc7s7hAh9sKs,-600|600,lesnoy.dmitry.1,DeepStack 
r300f,,,,4hQs7hKh,-100|100,DeepStack,lesnoy.dmitry.1 
cr300c,r750c,r1875c,r5625f,TsTdKh7h2h2dQh3cTc,1875|-1875,lesnoy.dmitry.1,DeepStack 
r300f,,,,Qs2d3s4d,-100|100,DeepStack,lesnoy.dmitry.1 
cr300r900c,cr1800c,k,k,9s9c6c8c5c7hQd3hTh,1800|-1800,lesnoy.dmitry.1,DeepStack 
f,,,,Ac7c3s7d,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,9s3h4s2c,50|-50,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,k,k,QhQsKsKcJcTd9d8dTh,1800|-1800,DeepStack,lesnoy.dmitry.1 
r300f,,,,2d4c9sQd,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr750r1500f,,,TdAs8d6d3h3d4c,750|-750,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,9sAc3h5dJc3dKd,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,Qs6c2s3d,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,k,k,Ks9c4dTdJs8cAhAs4h,-300|300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,r1800f,Ac8h6d6c7hAd4dQcTd,900|-900,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r750f,2hAdKs6dAhKh5dTh4d,300|-300,lesnoy.dmitry.1,DeepStack 
r300r900c,k,k,r1800c,Ts9d4h4s6cAc8d6sAs,1800|-1800,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250f,,,Jd9d6h8h2cAhJs,900|-900,lesnoy.dmitry.1,DeepStack 
r300r900c,cr2250c,k,r4500c,8c6c6dKh8h9h6hJsKc,-4500|4500,DeepStack,lesnoy.dmitry.1 
r300c,cr600r1500f,,,3h2sAh9dKh6dKs,600|-600,lesnoy.dmitry.1,DeepStack 
cr300c,k,k,k,3s3h6s9d8cKs2cAc7h,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,7cAc5c4d,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr600f,,,5h8hTsQhAs4cAc,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,cr400r1200f,,,Jc8hAh2hTcTs4c,400|-400,lesnoy.dmitry.1,DeepStack 
k,k,cr200c,cr1000f,Jh5cKc7dQsKdKhKs7h,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,k,5dTsKh6dAc5cKd3hQh,-500|500,lesnoy.dmitry.1,DeepStack 
r300f,,,,Td5c3s7s,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,Jc6d3h5h,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,9h9c5sJc,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,9h5s7dKsAdQs6d4s3h,-200|200,lesnoy.dmitry.1,DeepStack 
r311c,r933f,,,8cQh3dAd9c6s9h,311|-311,DeepStack,lesnoy.dmitry.1 
r300c,cr900r2250f,,,4cKcQs9s2s4h6d,900|-900,lesnoy.dmitry.1,DeepStack 
r222f,,,,8c5hQd6d,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400r1000c,r3000c,r9000c,3cAc3h4h8d4sAh3s9h,9000|-9000,lesnoy.dmitry.1,DeepStack 
r300f,,,,Kh4cAd8h,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r600f,,6s8cKdTs2sAs2d7c,200|-200,lesnoy.dmitry.1,DeepStack 
f,,,,Tc4sJh5s,50|-50,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,7s3d7dAhAd6cAs,-100|100,lesnoy.dmitry.1,DeepStack 
r222f,,,,Js4c9s8s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500f,,2dAd9sJs4c3d6d8s,200|-200,lesnoy.dmitry.1,DeepStack 
k,cr300c,k,r900c,Js4h7d5h2cJd7sAsJh,900|-900,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,3cQhTd9d8dAdTc,-200|200,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,4d6d7dJh2sQs4h,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,2h2sKh3s,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jc7sQcQh,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,k,k,8s6d4s8d5cKhTd4dJh,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,5sTh7h2c,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200c,cr400f,,Qc2h5sTh8h7s8d6d,-200|200,lesnoy.dmitry.1,DeepStack 
cr300c,r600c,cr1500c,cr3750f,7hAh6sQh6d6c6hQsTd,-1500|1500,DeepStack,lesnoy.dmitry.1 
k,r200r600c,r1500f,,7dKhTd3cQhJdAh6c,600|-600,lesnoy.dmitry.1,DeepStack 
r222f,,,,4s7cAd2c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600c,k,2dKd7h5s9h5dAc9sJh,-600|600,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,r1800f,3cKc2c2d3s6dJhKs5c,900|-900,DeepStack,lesnoy.dmitry.1 
r200c,r600f,,,Kd9hQc8s6c3s4d,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,6h8d4c3s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,cr1800f,,6h4s9hQh2c7h3cJs,-600|600,lesnoy.dmitry.1,DeepStack 
cr300c,k,r600r1500c,cr3750c,9dAcTd2dAhQhJs7s4d,3750|-3750,DeepStack,lesnoy.dmitry.1 
r200c,cr400r1000c,r2500c,k,Qh6sJcJs9sQcQs4h2c,2500|-2500,lesnoy.dmitry.1,DeepStack 
r200c,cr600r1200c,r3600c,k,8c7d8h6h5d6d9s6sJd,3600|-3600,DeepStack,lesnoy.dmitry.1 
k,r200c,k,cr600f,8s2s6dJdQdTs4dAd9h,-200|200,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1500c,k,k,KdAdJs5s7d5d6sAh6d,1500|-1500,DeepStack,lesnoy.dmitry.1 
r300f,,,,Qs3c9sTh,-100|100,lesnoy.dmitry.1,DeepStack 
r300r900c,k,r2700f,,3s3c9cAdJh7hKc2s,900|-900,DeepStack,lesnoy.dmitry.1 
r300c,r750r1500f,,,Th8d5cQs6dJd5s,-750|750,lesnoy.dmitry.1,DeepStack 
r300f,,,,9c3sAh6c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,2s3s9s9c9hKsTd,-200|200,lesnoy.dmitry.1,DeepStack 
cr300r900f,,,,7c4c2h8h,-300|300,DeepStack,lesnoy.dmitry.1 
f,,,,7hAs5s2c,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,6c9dKs8d5sJcJd,-200|200,DeepStack,lesnoy.dmitry.1 
cr300c,cr600c,r1800c,cr3600c,JsKsQs9d5cJhQcKdTs,-3600|3600,lesnoy.dmitry.1,DeepStack 
cr300c,k,cr900c,cr4500c,KcKs3cJdQh7s8h2h4d,4500|-4500,DeepStack,lesnoy.dmitry.1 
f,,,,KdTc6d2s,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,7dJs2cJc4c3dAh,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,9h2h8hJcQsJh7c,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,QhJs3d8c,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250f,,,JcAc4sJsQhTdJd,900|-900,lesnoy.dmitry.1,DeepStack 
f,,,,8h4c3h9s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr900r2700c,r5400c,cr10800c,AhAd4c2cKcJh8c9c4d,-10800|10800,lesnoy.dmitry.1,DeepStack 
r300r900r2250c,cr5625f,,,8d8c7d6sAs9hJc,-2250|2250,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,cr4500c,r20000f,As6d3h3d2s9hAc5sJs,4500|-4500,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200f,,,9cAc7s5dQdJdTs,600|-600,DeepStack,lesnoy.dmitry.1 
r300r900c,cr2700c,cr5400c,r16200f,AcJd6h5hTsAh6c9hJs,5400|-5400,lesnoy.dmitry.1,DeepStack 
f,,,,Kh2cTc5d,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r2250f,As9h4dAc9cKd7sAhJh,750|-750,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,r5400c,k,9h7h4c4h3s5sAsAc8s,-5400|5400,DeepStack,lesnoy.dmitry.1 
r200c,k,r500r1000c,k,Qd9cKs4hTc9s4cQc2s,1000|-1000,lesnoy.dmitry.1,DeepStack 
f,,,,Tc9h2h4s,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300f,,,9c3s8h2h9d5dQs,100|-100,lesnoy.dmitry.1,DeepStack 
r300r900c,cr2250c,cr5625c,k,8cKcKd7dQd3dKs9h2h,5625|-5625,DeepStack,lesnoy.dmitry.1 
r300r900c,k,r1800c,cr5400c,5s5dJdQcTs8d7hTc4d,5400|-5400,lesnoy.dmitry.1,DeepStack 
r200f,,,,7d2sKc3c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,Kh8hAd6cQh7h5h,300|-300,lesnoy.dmitry.1,DeepStack 
