PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,5d8hQcTs,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,k,cr500c,k,6sKcKd4sAd5d6hQh5s,500|-500,DeepStack,lesnoy.dmitry.1 
r300c,cr600r900f,,,Ks2s9d5sTdKdTc,600|-600,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,4s6dQc9d9cTc8h,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,9hAhThJd5h7c3d,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,9hQc2h6d,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,AcTs8s2c,50|-50,lesnoy.dmitry.1,DeepStack 
r200f,,,,4d9cKd8h,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200f,,,2h4d4s9hJs2c3d,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,r600c,cr1800c,k,Qs2sQd8s3s2hQh4dKd,1800|-1800,DeepStack,lesnoy.dmitry.1 
r200f,,,,7h3sJdAh,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,3hAh8d3s,50|-50,DeepStack,lesnoy.dmitry.1 
r200f,,,,2hTd8dQc,-100|100,lesnoy.dmitry.1,DeepStack 
k,cr250c,k,cr1250c,6hJs8dAs2s6d9s4sTs,-1250|1250,DeepStack,lesnoy.dmitry.1 
k,r200r400c,r1200c,k,Td4s6s4cQc4d6dJh3d,-1200|1200,lesnoy.dmitry.1,DeepStack 
r200r600r1800c,cr4500f,,,6d6sAc8cKcJh4d,-1800|1800,DeepStack,lesnoy.dmitry.1 
k,k,r250c,r550f,JcTh6d6s4hTs3s9c4s,250|-250,lesnoy.dmitry.1,DeepStack 
r200f,,,,2sTc8h8c,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,Ad2d6c2s,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,k,k,k,Kh9dAc8d3s5d2sJh6s,-200|200,DeepStack,lesnoy.dmitry.1 
k,k,k,k,4cQd8d6sQcAcJsKh2s,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,Qd2sTs5sJhKdKc,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,k,k,cr900c,9s9cAs2dJsAh5d7cAc,-900|900,lesnoy.dmitry.1,DeepStack 
r200f,,,,8c4d7s6s,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,4cJh8h8s,-100|100,lesnoy.dmitry.1,DeepStack 
r200r20000f,,,,QcJh5d4s,200|-200,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,r800f,9sKs4s4dTsTdJd7h2s,400|-400,lesnoy.dmitry.1,DeepStack 
r200c,cr400c,k,cr700r2100f,9sAh8dTh6h6sKcJc5d,700|-700,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,Ah8sKc3sQc2dJc,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,9d4c2c9s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,r600f,,,4hAd7s6s5c2cTc,300|-300,lesnoy.dmitry.1,DeepStack 
cr300f,,,,8hAh9d3s,100|-100,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,cr1200c,cr2400f,5c5d9cTc3d4c8cAs6c,-1200|1200,lesnoy.dmitry.1,DeepStack 
f,,,,8h5d4hTd,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,9c9h2d6s,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,k,k,k,5c3hAc6c9cQs2s8dKh,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,5c3h4h5h,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,6d2c2hJc,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200f,,,3d3sQhTs2cKh5c,100|-100,lesnoy.dmitry.1,DeepStack 
k,k,cr200f,,4c9h6c9d7dKhJhTs,-100|100,DeepStack,lesnoy.dmitry.1 
r200f,,,,7h3dJd2d,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,Kc9s7s2c,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,Td5s5dAs,-100|100,lesnoy.dmitry.1,DeepStack 
r200f,,,,2d3s8sQs,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,5sJcJh9h,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr400c,cr1200f,,5dTs3sQc5cQh6c7c,-400|400,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,k,r6750f,Kc4cAdQh7s2s2dKsJd,2250|-2250,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Ts5hAc3s7s3c2c,-200|200,DeepStack,lesnoy.dmitry.1 
f,,,,7dAs6h2d,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,Qh8c6c6h4dAc9h,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,3h8s7hTs,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600r1800c,k,k,cr5400f,9hJhAd2h4dAs7h8s7d,-1800|1800,DeepStack,lesnoy.dmitry.1 
k,r200c,r500f,,2c6sJh6h8d9hTd8s,200|-200,lesnoy.dmitry.1,DeepStack 
r200c,cr400c,k,k,3dQdTdJh7hAh3c4s7d,400|-400,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,AcAh4sKd,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,Kc5sJh3s,50|-50,DeepStack,lesnoy.dmitry.1 
