PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,r600r1200f,,,KsQh9h7c7s7d4c,-600|600,laak.phil.4,DeepStack 
r300f,,,,2c3h8sTs,-100|100,laak.phil.4,DeepStack 
cr250r750f,,,,2sAh7dJd,-250|250,laak.phil.2,DeepStack 
r250c,cr625c,cr1169c,cr2691f,7c6sQdQhJd6cJhKhTs,-1169|1169,DeepStack,laak.phil.4 
r200c,cr400c,cr800c,k,Ah8c4s3h9d9h3d7cQh,-800|800,DeepStack,laak.phil.2 
r300c,k,r655c,k,5s6cQc7sJh9d6hQh8s,-655|655,laak.phil.4,DeepStack 
r200c,cr366f,,,6dJs8cKs9sTc4s,-200|200,DeepStack,laak.phil.4 
cr200c,r412c,r922c,r3343f,3sJsQdTcJd3dAdJc3c,922|-922,laak.phil.3,DeepStack 
r200r600c,r1200r2900f,,,5hAhTd3d4d5d6c,-1200|1200,DeepStack,laak.phil.3 
r200r600f,,,,KdQh4sQc,200|-200,laak.phil.3,DeepStack 
r200c,cr400c,k,r800c,As4d8sTh6dAd2d4c8h,800|-800,DeepStack,laak.phil.3 
cr250c,r515f,,,9hAsQc2dJh5sKs,250|-250,laak.phil.3,DeepStack 
r300c,k,r1121c,k,TdJhAs7h4cAh3c6d2c,-1121|1121,laak.phil.3,DeepStack 
r200c,cr400c,k,cr799c,8h9cJc7d8s6h7c9h2c,799|-799,DeepStack,laak.phil.3 
r250c,cr435r870f,,,6h7cJcQs7h8sKh,435|-435,DeepStack,laak.phil.3 
cr200c,k,r399c,r884c,Ah6c7h4d3d7sQhAsTs,884|-884,laak.phil.3,DeepStack 
r300c,r600c,k,k,Ts9h2sQsTd8s9dQc7h,600|-600,laak.phil.3,DeepStack 
f,,,,3hJd7c2d,50|-50,DeepStack,laak.phil.3 
r300r900c,r2011c,k,cr10055f,Qc8cKsJh5hJc7sJsTh,-2011|2011,laak.phil.3,DeepStack 
r250r750c,r1500c,cr3388c,r10164c,7s8sJhKdKsQcAsTh3s,10164|-10164,DeepStack,laak.phil.3 
r200f,,,,Tc3s6d5s,-100|100,DeepStack,laak.phil.3 
r300c,k,r750f,,9c7h4sKs6hTd3hQh,300|-300,laak.phil.3,DeepStack 
r300r900f,,,,AdJd3c9c,300|-300,laak.phil.4,DeepStack 
r200c,cr401f,,,4cJdQs6hTh3cKd,-200|200,DeepStack,laak.phil.4 
k,r200f,,,7h3d2dQsJc9c7d,100|-100,laak.phil.3,DeepStack 
r200c,cr401c,k,r2005f,Tc8h3sAsQhKdJsKc3d,401|-401,DeepStack,laak.phil.3 
k,r201c,k,r500c,9c2dJh2cJsKdTc7h8c,500|-500,laak.phil.4,DeepStack 
r300f,,,,6c8d8sTh,-100|100,laak.phil.3,DeepStack 
r288c,cr720f,,,7dQsTsTd8h9c5d,-288|288,DeepStack,laak.phil.3 
k,r201f,,,Jd4c4dTsKh7s3h,100|-100,laak.phil.3,DeepStack 
r200c,cr401c,k,k,7dTcTsQh6dJc7s4c7c,401|-401,DeepStack,laak.phil.4 
r300c,cr600c,k,r1545c,3dKd7cTh2c8h9d7sKc,1545|-1545,laak.phil.3,DeepStack 
cr200c,r500c,cr1000c,k,4s4dAc5d9h2h4hQhAs,1000|-1000,laak.phil.3,DeepStack 
r200c,cr455f,,,3hKs6cTcQd6hQh,-200|200,DeepStack,laak.phil.3 
r200r600c,r1200f,,,AcTs7h8c4h2c9h,600|-600,laak.phil.4,DeepStack 
r200c,cr600c,k,cr1800c,7dTs8hThKs7c3sAd5h,1800|-1800,laak.phil.3,DeepStack 
r200f,,,,3s8c8dAh,-100|100,DeepStack,laak.phil.3 
r200c,cr400c,k,k,3dJd5h3hKdAhAs3s4d,0|0,laak.phil.3,DeepStack 
r200f,,,,7s2d9d7d,-100|100,DeepStack,laak.phil.4 
cr200c,r314f,,,9d4d7c4h3d8s3s,200|-200,laak.phil.4,DeepStack 
r200c,cr345c,k,k,5s4cKh6dAs3s8s8c4d,345|-345,DeepStack,laak.phil.3 
r200f,,,,8d2c7dQc,-100|100,DeepStack,laak.phil.4 
r300c,cr600f,,,Ah7d7cKsKhQs5c,-300|300,laak.phil.3,DeepStack 
k,cr200f,,,7d4hTs3h9sQh6c,-100|100,laak.phil.4,DeepStack 
cr250c,r625c,r1546c,r6757f,6h6c5hKcAsAh2d2s6s,1546|-1546,laak.phil.1,DeepStack 
f,,,,Td5h8h2c,50|-50,DeepStack,laak.phil.1 
r200r600c,r1200c,r3600f,,8d7dAh7hAdJs4c8s,1200|-1200,DeepStack,laak.phil.3 
r200r600f,,,,5sAs4cKd,200|-200,DeepStack,laak.phil.4 
f,,,,Ad4s3h7c,50|-50,laak.phil.1,DeepStack 
k,k,k,k,5hJs6s6d8cAhQdKc9s,-100|100,laak.phil.4,DeepStack 
r232c,cr464c,cr1186c,cr2965c,7d3d9cKc4s7h4c9s6d,-2965|2965,DeepStack,laak.phil.1 
r200r555c,r910f,,,QhTh6cKh3c7d3d,555|-555,laak.phil.3,DeepStack 
r255c,cr610c,cr1595f,,6dAcKsAsKd7c6s8s,-610|610,DeepStack,laak.phil.4 
r200r600f,,,,2c2s9d7c,200|-200,DeepStack,laak.phil.3 
k,k,r211f,,5cQs3d6h8hJhTs8c,100|-100,laak.phil.1,DeepStack 
