"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"150",-7.16,7.16,0,0,1010,990
"151",-5.96,5.96,0,0,1010,990
"152",4.96,-4.96,0,0,1010,990
"153",-9.68,9.68,0,0,1010,990
"154",-4.85,4.85,0,0,1010,990
"155",-2.39,2.39,0,0,1010,990
"156",1.09,-1.09,0,0,1010,990
"157",-8.66,8.66,0,0,1010,990
"158",-2.57,2.57,0,0,1010,990
"159",1.45,-1.45,0,0,1010,990
"160",-4.46,4.46,0,0,1010,990
"161",-4.76,4.76,0,0,1010,990
"162",-3.62,3.62,0,0,1010,990
"163",-7.67,7.67,0,0,1010,990
"164",-8.42,8.42,0,0,1010,990
"165",-10.1,10.1,0,0,1010,990
"166",-4.64,4.64,0,0,1010,990
"167",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"168",-8.42,8.42,0,0,1010,990
"169",7.51,-7.51,0,0,1010,990
"170",1.39,-1.39,0,0,1010,990
"171",-6.86,6.86,0,0,1010,990
"172",-4.64,4.64,0,0,1010,990
"173",-11.96,11.96,0,0,1010,990
"174",-9.11,9.11,0,0,1010,990
"175",-6.29,6.29,0,0,1010,990
"176",-0.259999999999998,0.26,0,0,1010,990
"177",-3.29,3.29,0,0,1010,990
"178",5.02,-5.02,0,0,1010,990
"179",-9.74,9.74,0,0,1010,990
"180",-8.81,8.81,0,0,1010,990
"181",-8.04,8.04,293.02,-293.02,980,1020
"182",-9.38,9.38,0,0,1010,990
"183",-0.800000000000001,0.799999999999999,0,0,1010,990
"184",-1.34,1.34,0,0,1010,990
"185",-7.13,7.13,0,0,1010,990
"186",0.490000000000002,-0.490000000000002,0,0,1010,990
"187",-7.64,7.64,0,0,1010,990
"188",-10.34,10.34,0,0,1010,990
"189",-4.91,4.91,0,0,1010,990
"190",0.280000000000001,-0.280000000000001,0,0,1010,990
"191",-6.26,6.26,0,0,1010,990
"192",-10.67,10.67,0,0,1010,990
"193",1.42,-1.42,0,0,1010,990
"194",0.280000000000001,-0.280000000000001,0,0,1010,990
"195",-6.83,6.83,0,0,1010,990
"196",-3.62,3.62,0,0,1010,990
"197",1.84,-1.84,0,0,1010,990
"198",0.789999999999999,-0.789999999999999,0,0,1010,990
"199",-3.95,3.95,0,0,1010,990
"200",4.69,-4.69,0,0,1010,990
"201",-10.04,10.04,0,0,1010,990
"202",2.29,-2.29,0,0,1010,990
"203",-5.93,5.93,0,0,1010,990
"204",-10.49,10.49,0,0,1010,990
"205",0.100000000000001,-0.100000000000001,0,0,1010,990
"206",-10.01,10.01,0,0,1010,990
"207",-4.61,4.61,0,0,1010,990
"208",-3.77,3.77,0,0,1010,990
"209",0.82,-0.819999999999999,0,0,1010,990
"210",-9.53,9.53,0,0,1010,990
"211",-9.26,9.26,0,0,1010,990
"212",-6.35,6.35,0,0,1010,990
"213",-1.13,1.13,0,0,1010,990
"214",-0.349999999999998,0.35,0,0,1010,990
"215",-7.82,7.82,0,0,1010,990
"216",-6.98,6.98,0,0,1010,990
"217",-5.93,5.93,0,0,1010,990
"218",-4.13,4.13,0,0,1010,990
"219",-10.16,10.16,0,0,1010,990
"220",-2.93,2.93,0,0,1010,990
"221",-4.82,4.82,0,0,1010,990
"222",-3.47,3.47,0,0,1010,990
"223",-0.199999999999999,0.199999999999999,0,0,1010,990
"224",1.99,-1.99,0,0,1010,990
"225",1.24,-1.24,0,0,1010,990
"226",3.01,-3.01,0,0,1010,990
"227",-2.78,2.78,0,0,1010,990
"228",0.220000000000002,-0.220000000000001,0,0,1010,990
"229",0.34,-0.340000000000002,0,0,1010,990
"230",-6.56,6.56,0,0,1010,990
"231",-3.26,3.26,0,0,1010,990
"232",-7.13,7.13,0,0,1010,990
"233",-10.13,10.13,0,0,1010,990
"234",-8.84,8.84,0,0,1010,990
"235",-6.32,6.32,0,0,1010,990
"236",-9.74,9.74,0,0,1010,990
"237",-10.13,10.13,0,0,1010,990
"238",-5.15,5.15,0,0,1010,990
"239",-2.81,2.81,0,0,1010,990
