"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"233",7.2,-7.2,666.4,-666.4,980,1020
"234",-8.15,8.15,0,0,1010,990
"235",-5.76,5.76,348.88,-348.88,980,1020
"236",-3.28,3.28,409.64,-409.64,980,1020
"237",-8.6,8.6,279.3,-279.3,980,1020
"238",7.36,-7.36,670.32,-670.32,980,1020
"239",-1.97,1.97,0,0,1010,990
"240",-1.64,1.64,0,0,1010,990
"241",-4.2,4.2,387.1,-387.1,980,1020
"242",-9.68,9.68,252.84,-252.84,980,1020
"243",-6.64,6.64,327.32,-327.32,980,1020
"244",-7.52,7.52,0,0,1010,990
"245",-2.04,2.04,440.02,-440.02,980,1020
"246",2.53,-2.53,0,0,1010,990
"247",2.74,-2.74,0,0,1010,990
"248",5.84,-5.84,633.08,-633.08,980,1020
"249",0.280000000000001,-0.280000000000001,0,0,1010,990
"250",-11.32,11.32,212.66,-212.66,980,1020
"251",5.48,-5.48,624.26,-624.26,980,1020
"252",-2.63,2.63,0,0,1010,990
"253",1.16,-1.16,518.42,-518.42,980,1020
"254",-5.12,5.12,0,0,1010,990
"255",0.729999999999997,-0.729999999999999,0,0,1010,990
"256",1.15,-1.15,0,0,1010,990
"257",-6.92,6.92,320.46,-320.46,980,1020
"258",-4.64,4.64,376.32,-376.32,980,1020
"259",-10.24,10.24,239.12,-239.12,980,1020
"260",8.52,-8.52,698.74,-698.74,980,1020
"261",0.310000000000002,-0.310000000000002,0,0,1010,990
"262",-4,4,392,-392,980,1020
"263",0.640000000000001,-0.640000000000001,505.68,-505.68,980,1020
"264",-2.3,2.3,0,0,1010,990
"265",-4.76,4.76,373.38,-373.38,980,1020
"266",1.72,-1.72,532.14,-532.14,980,1020
"267",-3.47,3.47,0,0,1010,990
"268",-5.28,5.28,360.64,-360.64,980,1020
"269",-2.44,2.44,430.22,-430.22,980,1020
"270",-4.4,4.4,0,0,1010,990
"271",-0.800000000000001,0.799999999999999,0,0,1010,990
"272",-1.44,1.44,454.72,-454.72,980,1020
"273",1.6,-1.6,529.2,-529.2,980,1020
"274",-2.04,2.04,440.02,-440.02,980,1020
"275",2.74,-2.74,0,0,1010,990
"276",-4.52,4.52,379.26,-379.26,980,1020
"277",6.8,-6.8,656.6,-656.6,980,1020
"278",4.44,-4.44,598.78,-598.78,980,1020
"279",8.64,-8.64,701.68,-701.68,980,1020
