marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
121.8181818,-121.8181818,2578.181818,-2578.181818,22700,17300,2700,-2700
-100,100,-200,200,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
-705.4545455,705.4545455,-1094.545455,1094.545455,18200,21800,-1800,1800
-100,100,0,0,19900,20100,-100,100
159.5959596,-159.5959596,40.4040404,-40.4040404,20200,19800,200,-200
100,-100,200,-200,20300,19700,300,-300
136.3636364,-136.3636364,763.6363636,-763.6363636,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
100,-100,200,-200,20300,19700,300,-300
-1021.212121,1021.212121,421.2121212,-421.2121212,19400,20600,-600,600
145.4545455,-145.4545455,754.5454545,-754.5454545,20900,19100,900,-900
-149.8989899,149.8989899,-1650.10101,1650.10101,18200,21800,-1800,1800
128.2828283,-128.2828283,471.7171717,-471.7171717,20600,19400,600,-600
100,-100,0,0,20100,19900,100,-100
100,-100,800,-800,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
357.6767677,-357.6767677,242.3232323,-242.3232323,20600,19400,600,-600
-400,400,-500,500,19100,20900,-900,900
179.3939394,-179.3939394,420.6060606,-420.6060606,20600,19400,600,-600
-139.1919192,139.1919192,-60.80808081,60.80808081,19800,20200,-200,200
100,-100,200,-200,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-190.9090909,190.9090909,-109.0909091,109.0909091,19700,20300,-300,300
-154.5454545,154.5454545,-745.4545455,745.4545455,19100,20900,-900,900
209.6969697,-209.6969697,390.3030303,-390.3030303,20600,19400,600,-600
136.3636364,-136.3636364,763.6363636,-763.6363636,20900,19100,900,-900
-163.6363636,163.6363636,-136.3636364,136.3636364,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
285.0505051,-285.0505051,1514.949495,-1514.949495,21800,18200,1800,-1800
125.4545455,-125.4545455,474.5454545,-474.5454545,20600,19400,600,-600
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-843.030303,843.030303,243.030303,-243.030303,19400,20600,-600,600
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
154.5454545,-154.5454545,745.4545455,-745.4545455,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
-311.6161616,311.6161616,311.6161616,-311.6161616,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
127.2727273,-127.2727273,172.7272727,-172.7272727,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
-140.2808081,141.4141414,-59.71919192,58.58585859,19800,20200,-200,200
100,-100,200,-200,20300,19700,300,-300
-127.2727273,127.2727273,-772.7272727,772.7272727,19100,20900,-900,900
172.7272727,-172.7272727,727.2727273,-727.2727273,20900,19100,900,-900
100,-100,0,0,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
100,-100,0,0,20100,19900,100,-100
-143.030303,143.030303,-56.96969697,56.96969697,19800,20200,-200,200
378.7878788,-378.7878788,2321.212121,-2321.212121,22700,17300,2700,-2700
0,0,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
159.8989899,-159.8989899,1640.10101,-1640.10101,21800,18200,1800,-1800
-301.3131313,301.3131313,-1498.686869,1498.686869,18200,21800,-1800,1800
-127.2727273,127.2727273,-172.7272727,172.7272727,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
409.3939394,-409.3939394,1390.606061,-1390.606061,21800,18200,1800,-1800
-100,100,0,0,19900,20100,-100,100
149.5959596,-149.5959596,450.4040404,-450.4040404,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
-127.2727273,127.2727273,-172.7272727,172.7272727,19700,20300,-300,300
-132.4242424,132.4242424,-67.57575758,67.57575758,19800,20200,-200,200
286.969697,-286.969697,1513.030303,-1513.030303,21800,18200,1800,-1800
236.3636364,-236.3636364,663.6363636,-663.6363636,20900,19100,900,-900
100,-100,200,-200,20300,19700,300,-300
-100,100,-800,800,19100,20900,-900,900
-148.7878788,148.7878788,-451.2121212,451.2121212,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
118.1818182,-118.1818182,781.8181818,-781.8181818,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
100,-100,200,-200,20300,19700,300,-300
-227.2727273,227.2727273,-672.7272727,672.7272727,19100,20900,-900,900
128.6141414,-128.0808081,471.3858586,-471.9191919,20600,19400,600,-600
943.3818182,-943.3818182,2656.618182,-2656.618182,23600,16400,3600,-3600
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
118.1818182,-118.1818182,181.8181818,-181.8181818,20300,19700,300,-300
100,-100,800,-800,20900,19100,900,-900
-101.2121212,101.2121212,-1698.787879,1698.787879,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
-143.5353535,143.5353535,-56.46464646,56.46464646,19800,20200,-200,200
107.6767677,-107.6767677,2592.323232,-2592.323232,22700,17300,2700,-2700
-113.6363636,113.6363636,-786.3636364,786.3636364,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
271.4166667,-271.4166667,78.58333333,-78.58333333,20350,19650,350,-350
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
245.7575758,-245.7575758,2454.242424,-2454.242424,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
-836.969697,836.969697,-963.030303,963.030303,18200,21800,-1800,1800
119.3939394,-119.3939394,1680.606061,-1680.606061,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
100,-100,200,-200,20300,19700,300,-300
218.1818182,-218.1818182,81.81818182,-81.81818182,20300,19700,300,-300
298.4166667,-298.4166667,751.5833333,-751.5833333,21050,18950,1050,-1050
109.4949495,-109.4949495,490.5050505,-490.5050505,20600,19400,600,-600
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
1.42E-14,-1.42E-14,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-242.1212121,242.1212121,-357.8787879,357.8787879,19400,20600,-600,600
-133.5353535,133.5353535,-466.4646465,466.4646465,19400,20600,-600,600
100,-100,200,-200,20300,19700,300,-300
145.4545455,-145.4545455,754.5454545,-754.5454545,20900,19100,900,-900
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,800,-800,20900,19100,900,-900
-214.5454545,214.5454545,-1585.454545,1585.454545,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
0,-7.11E-15,0,0,20000,20000,0,0
100,-100,200,-200,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
106.2626263,-106.2626263,1693.737374,-1693.737374,21800,18200,1800,-1800
163.6363636,-163.6363636,736.3636364,-736.3636364,20900,19100,900,-900
100,-100,200,-200,20300,19700,300,-300
-121.3131313,121.3131313,-478.6868687,478.6868687,19400,20600,-600,600
136.7676768,-136.7676768,463.2323232,-463.2323232,20600,19400,600,-600
-105.6565657,105.6565657,-94.34343434,94.34343434,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
282.4242424,-282.4242424,317.5757576,-317.5757576,20600,19400,600,-600
100,-100,0,0,20100,19900,100,-100
-125.5555556,125.5555556,-1674.444444,1674.444444,18200,21800,-1800,1800
