"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"181",-100,100,-200,200,19700,20300,10
"182",-100,100,-200,200,19700,20300,10
"183",-386.262626262626,386.262626262626,-1413.73737373737,1413.73737373737,18200,21800,10
"184",-254.545454545455,254.545454545455,-45.4545454545455,45.4545454545455,19700,20300,10
"185",-200,200,-100,100,19700,20300,10
"186",100,-100,200,-200,20300,19700,10
"187",-372.727272727273,372.727272727273,72.7272727272727,-72.7272727272727,19700,20300,10
"188",100,-100,0,0,20100,19900,10
"189",-250.707070707071,250.707070707071,-349.292929292929,349.292929292929,19400,20600,10
"190",488.686868686869,-461.586868686869,2211.31313131313,-2238.41313131313,22700,17300,10
"191",100,-100,200,-200,20300,19700,10
"192",-1031.11111111111,1031.11111111111,-768.888888888889,768.888888888889,18200,21800,10
"193",-100,100,0,0,19900,20100,10
"194",100,-100,0,0,20100,19900,10
"195",105.858585858586,-105.858585858586,94.1414141414141,-94.1414141414141,20200,19800,10
"196",157.373737373737,-157.373737373737,442.626262626263,-442.626262626263,20600,19400,10
"197",100,-100,0,0,20100,19900,10
"198",118.181818181818,-118.181818181818,781.818181818182,-781.818181818182,20900,19100,10
"199",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"200",-100,100,-200,200,19700,20300,10
"201",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"202",-282.424242424242,282.424242424242,-317.575757575758,317.575757575758,19400,20600,10
"203",100,-100,0,0,20100,19900,10
"204",135.353535353535,-135.353535353535,64.6464646464646,-64.6464646464646,20200,19800,10
"205",691.010101010101,-691.010101010101,1108.9898989899,-1108.9898989899,21800,18200,10
"206",-181.818181818182,181.818181818182,-118.181818181818,118.181818181818,19700,20300,10
"207",-100,100,-200,200,19700,20300,10
"208",-100,100,-200,200,19700,20300,10
"209",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"210",154.747474747475,-154.747474747475,45.2525252525253,-45.2525252525253,20200,19800,10
"211",162.626262626263,-162.626262626263,437.373737373737,-437.373737373737,20600,19400,10
"212",4.44089209850063e-16,0,0,0,20000,20000,10
"213",486.868686868687,-486.868686868687,2213.13131313131,-2213.13131313131,22700,17300,10
"214",100,-100,200,-200,20300,19700,10
"215",120.808080808081,-120.808080808081,479.191919191919,-479.191919191919,20600,19400,10
"216",-100,100,0,0,19900,20100,10
"217",-100,100,0,0,19900,20100,10
"218",100,-100,200,-200,20300,19700,10
"219",-100,100,-200,200,19700,20300,10
"220",-100,100,0,0,19900,20100,10
"221",-100,100,0,0,19900,20100,10
"222",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700,10
"223",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"224",-1994.30909090909,1994.30909090909,-1605.69090909091,1605.69090909091,16400,23600,10
"225",-100,100,-200,200,19700,20300,10
"226",-100,100,-200,200,19700,20300,10
"227",100,-100,0,0,20100,19900,10
"228",146.464646464646,-146.464646464646,453.535353535354,-453.535353535354,20600,19400,10
"229",-100,100,0,0,19900,20100,10
"230",345.454545454545,-345.454545454545,554.545454545455,-554.545454545455,20900,19100,10
"231",-7.105427357601e-15,7.105427357601e-15,0,0,20000,20000,10
"232",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"233",117.575757575758,-117.575757575758,1682.42424242424,-1682.42424242424,21800,18200,10
"234",163.636363636364,-163.636363636364,736.363636363636,-736.363636363636,20900,19100,10
"235",158.080808080808,-158.080808080808,441.919191919192,-441.919191919192,20600,19400,10
"236",-181.818181818182,181.818181818182,-718.181818181818,718.181818181818,19100,20900,10
"237",100,-100,0,0,20100,19900,10
"238",-100,100,0,0,19900,20100,10
"239",-100,100,-200,200,19700,20300,10
"240",-100,100,-800,800,19100,20900,10
"241",135.151515151515,-135.151515151515,2564.84848484848,-2564.84848484848,22700,17300,10
"242",-397.272727272727,397.272727272727,-202.727272727273,202.727272727273,19400,20600,10
"243",-100,100,0,0,19900,20100,10
"244",-100,100,-200,200,19700,20300,10
"245",-100,100,-200,200,19700,20300,10
"246",-100,100,0,0,19900,20100,10
"247",100,-100,0,0,20100,19900,10
"248",186.363636363636,-186.363636363636,713.636363636364,-713.636363636364,20900,19100,10
"249",154.545454545455,-154.545454545455,145.454545454545,-145.454545454545,20300,19700,10
"250",-100,100,-200,200,19700,20300,10
"251",-100,100,-200,200,19700,20300,10
"252",-100,100,0,0,19900,20100,10
"253",-265.858585858586,265.858585858586,65.8585858585859,-65.8585858585859,19800,20200,10
"254",100,-100,200,-200,20300,19700,10
"255",-100,100,0,0,19900,20100,10
"256",100,-100,0,0,20100,19900,10
"257",-54.5454545454545,54.5454545454545,54.5454545454545,-54.5454545454545,20000,20000,10
"258",127.272727272727,-127.272727272727,772.727272727273,-772.727272727273,20900,19100,10
"259",100,-100,0,0,20100,19900,10
"260",-100,100,-200,200,19700,20300,10
"261",100,-100,200,-200,20300,19700,10
"262",263.636363636364,-263.636363636364,636.363636363636,-636.363636363636,20900,19100,10
"263",100,-100,200,-200,20300,19700,10
"264",-100,100,-200,200,19700,20300,10
"265",-445.454545454545,445.454545454545,145.454545454545,-145.454545454545,19700,20300,10
"266",-100,100,0,0,19900,20100,10
"267",188.686868686869,-188.686868686869,1611.31313131313,-1611.31313131313,21800,18200,10
"268",100,-100,200,-200,20300,19700,10
"269",-100,100,0,0,19900,20100,10
"270",100,-100,200,-200,20300,19700,10
"271",100,-100,0,0,20100,19900,10
"272",-100,100,0,0,19900,20100,10
"273",-200,200,-700,700,19100,20900,10
"274",154.545454545455,-154.545454545455,145.454545454545,-145.454545454545,20300,19700,10
"275",-113.636363636364,113.636363636364,113.636363636364,-113.636363636364,20000,20000,10
"276",-154.747474747475,154.747474747475,-1645.25252525253,1645.25252525253,18200,21800,10
"277",186.363636363636,-186.363636363636,713.636363636364,-713.636363636364,20900,19100,10
"278",109.494949494949,-109.494949494949,1690.50505050505,-1690.50505050505,21800,18200,10
"279",-100,100,-200,200,19700,20300,10
"280",-100,100,-200,200,19700,20300,10
"281",172.727272727273,-172.727272727273,727.272727272727,-727.272727272727,20900,19100,10
"282",100,-100,200,-200,20300,19700,10
"283",-100,100,0,0,19900,20100,10
"284",-100,100,0,0,19900,20100,10
"285",110.909090909091,-110.909090909091,489.090909090909,-489.090909090909,20600,19400,10
"286",-263.030303030303,263.030303030303,63.030303030303,-63.030303030303,19800,20200,10
"287",-28.7878787878788,28.7878787878788,28.7878787878788,-28.7878787878788,20000,20000,10
"288",-190.10101010101,190.10101010101,-2509.89898989899,2509.89898989899,17300,22700,10
"289",1279.65151515152,-1279.65151515152,9520.34848484848,-9520.34848484848,30800,9200,10
"290",-100,100,0,0,19900,20100,10
"291",157.575757575758,-157.575757575758,442.424242424242,-442.424242424242,20600,19400,10
"292",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"293",100,-100,0,0,20100,19900,10
"294",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"295",-970.30303030303,970.30303030303,-829.69696969697,829.69696969697,18200,21800,10
"296",-100,100,0,0,19900,20100,10
"297",-122.424242424242,122.424242424242,-477.575757575758,477.575757575758,19400,20600,10
"298",100,-100,200,-200,20300,19700,10
"299",-100,100,0,0,19900,20100,10
"300",-100,100,0,0,19900,20100,10
"301",-100,100,-200,200,19700,20300,10
"302",100,-100,200,-200,20300,19700,10
"303",100,-100,200,-200,20300,19700,10
"304",-428.888888888889,428.888888888889,-2271.11111111111,2271.11111111111,17300,22700,10
"305",-100,100,-200,200,19700,20300,10
"306",-196.565656565657,221.69898989899,-2503.43434343434,2478.30101010101,17300,22700,10
"307",-938.585858585859,938.585858585859,338.585858585859,-338.585858585859,19400,20600,10
"308",-100,100,0,0,19900,20100,10
"309",-154.545454545455,154.545454545455,-745.454545454545,745.454545454545,19100,20900,10
"310",-100,100,0,0,19900,20100,10
"311",362.525252525253,-362.525252525253,237.474747474747,-237.474747474747,20600,19400,10
"312",-7.105427357601e-15,7.105427357601e-15,0,0,20000,20000,10
"313",182.626262626263,-182.626262626263,417.373737373737,-417.373737373737,20600,19400,10
"314",100,-100,200,-200,20300,19700,10
"315",193.131313131313,-193.131313131313,406.868686868687,-406.868686868687,20600,19400,10
"316",100,-100,200,-200,20300,19700,10
"317",-100,124.833333333333,0,-24.8333333333333,19900,20100,10
"318",112.727272727273,-112.727272727273,487.272727272727,-487.272727272727,20600,19400,10
"319",357.777777777778,-357.777777777778,1442.22222222222,-1442.22222222222,21800,18200,10
"320",269.69696969697,-269.69696969697,2430.30303030303,-2430.30303030303,22700,17300,10
"321",-100,100,-200,200,19700,20300,10
"322",227.272727272727,-227.272727272727,72.7272727272727,-72.7272727272727,20300,19700,10
"323",-100,100,0,0,19900,20100,10
"324",-154.444444444444,154.444444444444,-45.5555555555556,45.5555555555555,19800,20200,10
"325",113.636363636364,-113.636363636364,786.363636363636,-786.363636363636,20900,19100,10
"326",-224.545454545455,224.545454545455,24.5454545454545,-24.5454545454545,19800,20200,10
"327",-100,100,0,0,19900,20100,10
"328",150.20202020202,-150.20202020202,49.7979797979798,-49.7979797979798,20200,19800,10
"329",100,-100,800,-800,20900,19100,10
"330",-100,100,0,0,19900,20100,10
"331",100,-100,800,-800,20900,19100,10
"332",5.32907051820075e-15,-1.77635683940025e-15,0,0,20000,20000,10
"333",203.232323232323,-203.232323232323,2496.76767676768,-2496.76767676768,22700,17300,10
"334",-100,100,0,0,19900,20100,10
"335",77.2727272727273,-77.2727272727273,-77.2727272727273,77.2727272727273,20000,20000,10
"336",-267.272727272727,267.272727272727,-1532.72727272727,1532.72727272727,18200,21800,10
"337",100,-100,0,0,20100,19900,10
"338",-100,100,0,0,19900,20100,10
"339",-135.050505050505,135.050505050505,-1664.94949494949,1664.94949494949,18200,21800,10
"340",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"341",100,-100,0,0,20100,19900,10
