"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"323",100,-100,0,0,20100,19900,10
"324",91.3131313131313,-91.3131313131313,8.68686868686868,-8.68686868686868,20100,19900,4
"325",-82.5252525252525,82.5252525252525,-19917.4747474747,19917.4747474747,0,40000,5
"326",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"327",-97.8787878787879,97.8787878787879,-2.12121212121212,2.12121212121212,19900,20100,5
"328",-55.7575757575758,55.7575757575758,-44.2424242424242,44.2424242424242,19900,20100,5
"329",-301.010101010101,301.010101010101,-898.989898989899,898.989898989899,18800,21200,10
"330",290.505050505051,-290.505050505051,809.494949494949,-809.494949494949,21100,18900,10
"331",40.9090909090909,-40.9090909090909,59.0909090909091,-59.0909090909091,20100,19900,6
"332",-116.767676767677,116.767676767677,-15483.2323232323,15483.2323232323,4400,35600,10
"333",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,20100,19900,6
"334",-20.5050505050505,20.5050505050505,-79.4949494949495,79.4949494949495,19900,20100,5
"335",-67.6767676767677,67.6767676767677,167.676767676768,-167.676767676768,20100,19900,4
"336",-83.030303030303,83.030303030303,-16.969696969697,16.969696969697,19900,20100,5
"337",684.036363636363,-684.036363636363,-20684.0363636364,20684.0363636364,0,40000,7
"338",50,-50,50,-50,20100,19900,6
"339",53.9393939393939,-53.9393939393939,46.0606060606061,-46.0606060606061,20100,19900,4
"340",-100,100,200,-200,20100,19900,8
"341",240,-240,210,-210,20450,19550,10
"342",63.6363636363636,-63.6363636363636,36.3636363636364,-36.3636363636364,20100,19900,6
"343",86.5656565656566,-58.0656565656566,13.4343434343434,-41.9343434343434,20100,19900,4
"344",39.1919191919192,-39.1919191919192,60.8080808080808,-60.8080808080808,20100,19900,4
"345",100,-100,0,0,20100,19900,10
"346",100,-100,300,-300,20400,19600,10
"347",100,-100,0,0,20100,19900,8
"348",100,-100,0,0,20100,19900,10
"349",94.5454545454545,-94.5454545454545,5.45454545454545,-5.45454545454545,20100,19900,4
"350",5.32907051820075e-15,-5.32907051820075e-15,0,0,20000,20000,10
"351",-227.272727272727,227.272727272727,-19772.7272727273,19772.7272727273,0,40000,9
