marly_luck,martin_luck,marly_skill,martin_skill,marly_chip,martin_chip,marly_gain,martin_gain
-144.2424242,144.2424242,-455.7575758,455.7575758,19400,20600,-600,600
252.4242424,-252.4242424,-52.42424242,52.42424242,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-304.5454545,304.5454545,-1495.454545,1495.454545,18200,21800,-1800,1800
-336.1616162,336.1616162,-2363.838384,2363.838384,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
-102.4242424,102.4242424,-2597.575758,2597.575758,17300,22700,-2700,2700
-106.0606061,106.0606061,-493.9393939,493.9393939,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
100,-98.36666667,0,-1.633333333,20100,19900,100,-100
100,-100,100,-100,20200,19800,200,-200
-100,100,-200,200,19700,20300,-300,300
-184.4444444,184.4444444,-15.55555556,15.55555556,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
250.7070707,-250.7070707,-50.70707071,50.70707071,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
-129.5959596,129.5959596,-270.4040404,270.4040404,19600,20400,-400,400
271.3131313,-271.3131313,-71.31313131,71.31313131,20200,19800,200,-200
-294.5454545,294.5454545,-1505.454545,1505.454545,18200,21800,-1800,1800
272.1212121,-272.1212121,-72.12121212,72.12121212,20200,19800,200,-200
-203.8383838,203.8383838,-2496.161616,2496.161616,17300,22700,-2700,2700
-142.7272727,142.7272727,-2557.272727,2557.272727,17300,22700,-2700,2700
-108.989899,108.989899,-91.01010101,91.01010101,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
221.2121212,-221.2121212,-21.21212121,21.21212121,20200,19800,200,-200
244.4444444,-244.4444444,-44.44444444,44.44444444,20200,19800,200,-200
-248.5858586,248.5858586,-151.4141414,151.4141414,19600,20400,-400,400
-121.8181818,121.8181818,-778.1818182,778.1818182,19100,20900,-900,900
-402.6262626,402.6262626,-2297.373737,2297.373737,17300,22700,-2700,2700
-100,100,-100,100,19800,20200,-200,200
-226.5656566,226.5656566,-373.4343434,373.4343434,19400,20600,-600,600
-153.1313131,153.1313131,-446.8686869,446.8686869,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
297.7777778,-297.7777778,1502.222222,-1502.222222,21800,18200,1800,-1800
-205.6565657,205.6565657,-2494.343434,2494.343434,17300,22700,-2700,2700
-78.6,100,-21.4,0,19900,20100,-100,100
-173.1313131,173.1313131,-1626.868687,1626.868687,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
100,-100,100,-100,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-145.6565657,145.6565657,-54.34343434,54.34343434,19800,20200,-200,200
-133.9393939,133.9393939,-466.0606061,466.0606061,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
-112.7272727,112.7272727,-87.27272727,87.27272727,19800,20200,-200,200
-144.2424242,144.2424242,-55.75757576,55.75757576,19800,20200,-200,200
81.71717172,-81.71717172,-81.71717172,81.71717172,20000,20000,0,0
53.23232323,-53.23232323,-53.23232323,53.23232323,20000,20000,0,0
100,-100,0,0,20100,19900,100,-100
45.25252525,-45.25252525,-45.25252525,45.25252525,20000,20000,0,0
-113.6363636,113.6363636,-786.3636364,786.3636364,19100,20900,-900,900
-149.8989899,149.8989899,-450.1010101,450.1010101,19400,20600,-600,600
-100,100,-200,200,19700,20300,-300,300
-246.4646465,246.4646465,-1553.535354,1553.535354,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
284.4444444,-284.4444444,-84.44444444,84.44444444,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
117.3737374,-117.3737374,82.62626263,-82.62626263,20200,19800,200,-200
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
-283.7373737,283.7373737,-1516.262626,1516.262626,18200,21800,-1800,1800
-111.9191919,111.9191919,-88.08080808,88.08080808,19800,20200,-200,200
-109.0909091,109.0909091,-490.9090909,490.9090909,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
111.7171717,-111.7171717,88.28282828,-88.28282828,20200,19800,200,-200
-129.3939394,129.3939394,-70.60606061,70.60606061,19800,20200,-200,200
115.959596,-115.959596,84.04040404,-84.04040404,20200,19800,200,-200
244.2424242,-244.2424242,-44.24242424,44.24242424,20200,19800,200,-200
-96.92222222,108.8888889,-1703.077778,1691.111111,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
-102.8282828,102.8282828,-97.17171717,97.17171717,19800,20200,-200,200
-142.3232323,142.3232323,-57.67676768,57.67676768,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
100,-100,100,-100,20200,19800,200,-200
-210.7070707,210.7070707,-1589.292929,1589.292929,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
262.7272727,-262.7272727,-62.72727273,62.72727273,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
103.2323232,-103.2323232,1696.767677,-1696.767677,21800,18200,1800,-1800
100,-100,200,-200,20300,19700,300,-300
-103.030303,103.030303,-796.969697,796.969697,19100,20900,-900,900
102.6262626,-102.6262626,97.37373737,-97.37373737,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-139.1919192,139.1919192,-60.80808081,60.80808081,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-131.9191919,131.9191919,-1668.080808,1668.080808,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
-136.7676768,136.7676768,-63.23232323,63.23232323,19800,20200,-200,200
-100,100,-100,100,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-172.7272727,172.7272727,-727.2727273,727.2727273,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
245.5555556,-245.5555556,1554.444444,-1554.444444,21800,18200,1800,-1800
100,-100,0,0,20100,19900,100,-100
316.459596,-316.459596,183.540404,-183.540404,20500,19500,500,-500
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-137.2727273,137.2727273,-462.7272727,462.7272727,19400,20600,-600,600
-143.3333333,143.3333333,-56.66666667,56.66666667,19800,20200,-200,200
-100,100,-200,200,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
194.5454545,-194.5454545,5.454545455,-5.454545455,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,100,-100,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-114.3434343,114.3434343,-2585.656566,2585.656566,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-257.7777778,257.7777778,-342.2222222,342.2222222,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-338.7878788,338.7878788,-2361.212121,2361.212121,17300,22700,-2700,2700
-7.11E-15,7.11E-15,0,0,20000,20000,0,0
-157.7777778,157.7777778,-242.2222222,242.2222222,19600,20400,-400,400
220.6060606,-220.6060606,1579.393939,-1579.393939,21800,18200,1800,-1800
-174.3434343,174.3434343,-225.6565657,225.6565657,19600,20400,-400,400
986.6666667,-986.6666667,813.3333333,-813.3333333,21800,18200,1800,-1800
100,-100,0,0,20100,19900,100,-100
-253.030303,253.030303,-346.969697,346.969697,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-243.5353535,243.5353535,-356.4646465,356.4646465,19400,20600,-600,600
-152.5252525,152.5252525,-447.4747475,447.4747475,19400,20600,-600,600
119.1919192,-119.1919192,80.80808081,-80.80808081,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-106.2626263,106.2626263,-93.73737374,93.73737374,19800,20200,-200,200
-155.5555556,155.5555556,-1644.444444,1644.444444,18200,21800,-1800,1800
-100,100,0,0,19900,20100,-100,100
-194.5454545,194.5454545,-5.454545455,5.454545455,19800,20200,-200,200
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
147.6767677,-147.6767677,752.3232323,-752.3232323,20900,19100,900,-900
-100,100,0,0,19900,20100,-100,100
-326.6666667,326.6666667,-1473.333333,1473.333333,18200,21800,-1800,1800
-200.2020202,200.2020202,0.202020202,-0.202020202,19800,20200,-200,200
-77.17171717,77.17171717,77.17171717,-77.17171717,20000,20000,0,0
-146.0606061,146.0606061,-53.93939394,53.93939394,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-162.1212121,162.1212121,-37.87878788,37.87878788,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
-136.1616162,136.1616162,-463.8383838,463.8383838,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
-143.9393939,143.9393939,-56.06060606,56.06060606,19800,20200,-200,200
-130.1272727,146.0606061,-2569.872727,2553.939394,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
-173.1313131,173.1313131,-1626.868687,1626.868687,18200,21800,-1800,1800
119.1919192,-119.1919192,80.80808081,-80.80808081,20200,19800,200,-200
-107.0707071,107.0707071,-92.92929293,92.92929293,19800,20200,-200,200
-100,100,-200,200,19700,20300,-300,300
-100,100,-100,100,19800,20200,-200,200
-17.87878788,17.87878788,17.87878788,-17.87878788,20000,20000,0,0
7.11E-15,0,0,0,20000,20000,0,0
-111.2121212,111.2121212,-488.7878788,488.7878788,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-255.959596,255.959596,-144.040404,144.040404,19600,20400,-400,400
100,-100,200,-200,20300,19700,300,-300
-135.7575758,135.7575758,-64.24242424,64.24242424,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-113.6363636,113.6363636,-786.3636364,786.3636364,19100,20900,-900,900
-256.5656566,256.5656566,-1543.434343,1543.434343,18200,21800,-1800,1800
-100,100,-800,800,19100,20900,-900,900
-100,100,0,0,19900,20100,-100,100
-148.7878788,148.7878788,-451.2121212,451.2121212,19400,20600,-600,600
140,-140,60,-60,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-96.56666667,100,-3.433333333,0,19900,20100,-100,100
-235.4545455,235.4545455,-1564.545455,1564.545455,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-159.5959596,159.5959596,-40.4040404,40.4040404,19800,20200,-200,200
125.6565657,-125.6565657,74.34343434,-74.34343434,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
-227.5060606,251.8727273,-1572.493939,1548.127273,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
